Nhà ở và công trình công cộng,Số tia phun chữa cháy trên 1 tầng nhà,"Lưu lượng tối thiểu cho chữa cháy trong nhà, L/s, đối với một tia phun"
"1. Nhà ở, nhà chung cư","1. Nhà ở, nhà chung cư","1. Nhà ở, nhà chung cư"
"≤ 16 tầng, khi hành lang chung dài ≤ 10 m",1,"2,5"
"≤ 16 tầng, khi hành lang chung dài > 10 m",2,"2,5"
"> 16 và ≤ 25 tầng, khi hành lang chung dài ≤ 10 m",2,"2,5"
"> 16 và ≤ 25 tầng, khi hành lang chung dài > 10 m",3,"2,5"
2. Nhà hành chính 1),2. Nhà hành chính 1),2. Nhà hành chính 1)
≤ 10 tầng và khối tích ≤ 25 000 m3,1,"2,5"
≤ 10 tầng và khối tích > 25 000 m3,2,"2,5"
> 10 tầng và khối tích ≤ 25 000 m3,2,"2,5"
>10 tầng và khối tích > 25 000 m3,3,"2,5"
≤ 300 chỗ,2,"2,5"
> 300 chỗ,2,"5,0"
4. Ký túc xá và nhà công cộng (ngoại trừ mục 2) 2),4. Ký túc xá và nhà công cộng (ngoại trừ mục 2) 2),4. Ký túc xá và nhà công cộng (ngoại trừ mục 2) 2)
≤ 10 tầng và khối tích ≤ 25 000 m3,1,"2,5"
≤ 10 tầng và khối tích > 25 000 m3,2,"2,5"
> 10 tầng và khối tích ≤ 25 000 m3,2,"2,5"
> 10 tầng và khối tích > 25 000 m3,3,"2,5"
5. Nhà hành chính - phụ trợ của công trình công nghiệp có khối tích,5. Nhà hành chính - phụ trợ của công trình công nghiệp có khối tích,5. Nhà hành chính - phụ trợ của công trình công nghiệp có khối tích
≤ 25 000 m3,1,"2,5"
> 25 000 m3,2,"2,5"
