Bậc chịu lửa của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,Cấp nguy hiểm cháy của kết cấu,"Số tia phun chữa cháy và lưu lượng nước tối thiểu, L/s, đối với 1 tia phun, cho chữa cháy trong nhà đối với nhà sản xuất và nhà kho có chiều cao PCCC đến 50 m và theo khối tích, 1 000 m3","Số tia phun chữa cháy và lưu lượng nước tối thiểu, L/s, đối với 1 tia phun, cho chữa cháy trong nhà đối với nhà sản xuất và nhà kho có chiều cao PCCC đến 50 m và theo khối tích, 1 000 m3"
Bậc chịu lửa của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,Cấp nguy hiểm cháy của kết cấu,≤ 150,> 150
"I, II","A, B, C","S0, S1","2 x 2,5","3 x 2,5"
"I, II","D, E",Không quy định,"1 x 2,5","1 x 2,5"
III,"A, B, C",S0,"2 x 2,5","3 x 2,5"
III,"D, E","S0, S1","1 x 2,5","2 x 2,5"
IV,"A, B",S0,"2 x 2,5","3 x 2,5"
IV,C,"S0, S1","2 x 2,5",2 x 5
IV,C,"S2, S3","3 x 2,5","4 x 2,5"
IV,"D, E","S0, S1, S2, S3","1 x 2,5","2 x 2,5"
V,C,Không quy định,"2 x 2,5",2 x 5
V,"D, E",Không quy định,"1 x 2,5","2 x 2,5"
