"Chiều cao tia nước đặc, m","Lưu lượng của lăng phun, L/s","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Lưu lượng của lăng phun, L/s","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Lưu lượng của lăng phun, L/s","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m","Áp suất, MPa, của họng nước chữa cháy với chiều dài cuộn vòi, m"
"Chiều cao tia nước đặc, m","Lưu lượng của lăng phun, L/s",10,15,20,"Lưu lượng của lăng phun, L/s",10,15,20,"Lưu lượng của lăng phun, L/s",10,15,20
,"Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm","Đường kính đầu lăng phun chữa cháy, mm"
,13,13,13,13,16,16,16,16,19,19,19,19
,Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1),Họng nước chữa cháy DN 50 1)
6,-,-,-,-,"2,6","0,092","0,096","0,100","3,4","0,088","0,096","0,104"
8,-,-,-,-,"2,9","0,120","0,125","0,130","4,1","0,129","0,138","0,148"
10,-,-,-,-,"3,3","0,151","0,157","0,164",4.6,"0,160","0,173","0,185"
12,"2,6","0,202","0,206","0,210","3,7","0,192","0,196","0,210","5,2","0,206","0,223","0,240"
14,"2,8","0,236","0,241","0,245","4,2","0,248","0,255","0,263",-,-,-,-
16,"3,2","0,316","0,322","0,328","4,6","0,293","0,300","0,318",-,-,-,-
18,"3,6","0,390","0,398","0,406","5,1","0,360","0,380","0,400",-,-,-,-
,Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1),Họng nước chữa cháy DN 65 1)
6,-,-,-,-,"2,6","0,088","0,089","0,090","3,4","0,078","0,080","0,083"
8,-,-,-,-,"2,9","0,110","0,112","0,114","4,1","0,114","0,117","0,121"
10,-,-,-,-,"3,3","0,140","0,143","0,146","4,6","0,143","0,147","0,151"
12,"2,6","0,198","0,199","0,201","3,7","0,180","0,183","0,186","5,2","0,182","0,190","0,199"
14,"2,8","0,23","0,231","0,233","4,2","0,230","0,233","0,235","5,7","0,218","0,224","0,230"
16,"3,2","0,31","0,313","0,315","4,6","0,276","0,280","0,284","6,3","0,266","0,273","0,280"
18,"3,6","0,38","0,383","0,385","5,1","0,338","0,342","0,346","7,0","0,329","0,338","0,348"
20,"4,0","0,464","0,467","0,470","5,6","0,412","0,424","0,418","7,5","0,372","0,385","0,397"
