Hạng nguy hiểm cháy nổ của nhà hoặc khoang cháy,"Chiều cao lớn nhất cho phép của nhà 1), m",Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2"
Hạng nguy hiểm cháy nổ của nhà hoặc khoang cháy,"Chiều cao lớn nhất cho phép của nhà 1), m",Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,Nhà 1 tầng,Nhà 2 tầng,Nhà từ 3 tầng trở lên
C,36,"I, II",S0,Không hạn chế,25 000,10 400
C,18,III,S0,25 000,10 400,5 200
C,12,IV,"S0, S1",25 000,10 400,-
C,12,IV,"S2, S3",2 600,2 000,-
C,8,V,Không quy định,1 200,-,-
E,36,"I, II",S0,Không hạn chế,Không hạn chế,Không hạn chế
E,18,III,S0,Không hạn chế,50 000,15 000
E,18,III,S1,Không hạn chế,25 000,10 400
E,12,IV,"S0, S1",Không hạn chế,25 000,7 800
E,12,IV,"S2, S3",10 400,7 800,-
E,8,V,Không quy định,2 600,1 500,-
