Tên cấu kiện (bộ phận nhà),"Giới hạn chịu lửa tối thiểu cho nhà có chiều cao PCCC, m - > 50 và ≤ 100","Giới hạn chịu lửa tối thiểu cho nhà có chiều cao PCCC, m - > 100 và ≤ 150"
(1),(2),(3)
"1. Cột chịu lực, tường chịu lực, hệ giằng, vách cứng, giàn, các bộ phận của sàn giữa các tầng và sàn mái của nhà không có tầng áp mái (dầm, xà, bản sàn) 1)",R 150,R 180
2. Tường ngoài không chịu lực,E 60,E 60
3. Sàn giữa các tầng (bao gồm cả sàn tầng áp mái và sàn trên tầng hầm),REI 120,REI 120
4. Các bộ phận của mái,,
4.1 Tấm lợp,RE 30,RE 30
"4.2 Dầm, xà, xà gồ, khung, giàn",R 30,R 30
"5. Các bộ phận của mái dành cho việc thoát nạn, cứu nạn",,
5.1 Tấm lợp,RE 120,RE 120
"5.2 Dầm, xà, xà gồ, khung, giàn",R 150,R 180
6. Kết cấu buồng thang bộ,,
6.1 Tường trong,REI 150,REI 180
6.2 Bản thang và chiếu thang,R 60,R 60
7. Tường ngăn cháy và sàn ngăn cháy,REI 150,REI 180
8. Kết cấu giếng,,
"8.1 Giếng thang máy và giếng đường ống kỹ thuật, kênh dẫn và hộp kỹ thuật không cắt qua biên của khoang cháy",REI 120,REI 120
"8.2 Giếng thang máy và giếng đường ống kỹ thuật, kênh dẫn và hộp kỹ thuật cắt qua biên của khoang cháy; Giếng thang máy chữa cháy",REI 150 1),REI 180 1)
9. Tường trong không chịu lực (vách ngăn),,
"9.1 Tường trong giữa các phòng ở của khách sạn, các phòng văn phòng và tương tự",El 60,El 60
9.2 Tường ngăn cách giữa các phòng với sảnh thông tầng; giữa hành lang với các phòng ở của khách sạn và với các phòng văn phòng,El (EIW) 60,El (EIW) 60
9.3 Tường ngăn cách các gian phòng cho máy phát điện sự cố và cho trạm điện Điêzen,REI 180,REI 180
9.4 Tường ngăn cách các gian bán hàng có diện tích lớn hơn 2 000 m2 và ngăn cách các gian phòng tập trung đông người có số người đồng thời có mặt lớn hơn 500 người,El 180,El 180
9.5 Tường ngăn cách giữa các căn hộ với nhau,El 90,El 90
9.6 Tường ngăn cách giữa các căn hộ với hành lang và với các gian phòng khác,El 30,El 60
9.7 Tường ngăn cách sảnh thang máy,El (EIW) 60,El (EIW) 60
9.8 Tường ngăn cách sảnh thang máy với khoang đệm của thang máy chữa cháy,El (EIW) 60,El (EIW) 90
9.9 Tường ngăn cách giữa phòng xông khô trong nhà với các gian phòng khác,El (EIW) 60,El (EIW) 60
"9.10 Tường ngăn cách các gian phòng của các cơ sở dịch vụ đời sống, có diện tích lớn hơn 300 m2",El 60,El 60
"9.11 Tường ngăn cách các gian phòng lưu trữ, kho sách báo và tương tự",El 90,El 120
9.12 Tường vách ngăn cách gian phòng của trạm biến áp,El 60,El 60
