"Khoảng cách phòng cháy chống cháy theo đường ranh giới, m","Tổng diện tích tường ngoài, m2 - 9","Tổng diện tích tường ngoài, m2 - 14","Tổng diện tích tường ngoài, m2 - 19","Tổng diện tích tường ngoài, m2 - 23","Tổng diện tích tường ngoài, m2 - 28","Tổng diện tích tường ngoài, m2 - 37","Tổng diện tích tường ngoài, m2 - 47","Tổng diện tích tường ngoài, m2 - 56","Tổng diện tích tường ngoài, m2 - 65","Tổng diện tích tường ngoài, m2 - 74","Tổng diện tích tường ngoài, m2 - 84","Tổng diện tích tường ngoài, m2 - 93","Tổng diện tích tường ngoài, m2 - 140","Tổng diện tích tường ngoài, m2 - 186","Tổng diện tích tường ngoài, m2 - 233","Tổng diện tích tường ngoài, m2 - 326","Tổng diện tích tường ngoài, m2 - 465","Tổng diện tích tường ngoài, m2 - 930","Tổng diện tích tường ngoài, m2 - ≥ 1860"
"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2",9,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"1,5",12,11,10,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7
"1,8",18,15,13,12,11,10,10,9,9,9,9,8,8,8,8,7,7,7,7
"2,1",25,20,17,15,14,12,11,11,10,10,10,9,9,8,8,8,8,7,7
"2,4",33,2.5,21,19,17,15,14,13,12,11,11,11,10,9,9,8,8,7,7
"2,7",43,32,27,23,21,18,16,15,14,13,12,12,11,10,9,9,8,8,7
"3,0",55,40,33,28,25,21,19,17,16,15,14,13,12,11,10,9,9,8,7
"> 3,0",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
