"Khoảng cách phòng cháy chống cháy theo đường ranh giới, m","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2","Tổng diện tích tường ngoài, m2"
"Khoảng cách phòng cháy chống cháy theo đường ranh giới, m",9,14,19,23,28,37,47,56,65,74,84,93,140,186,233,326,465,930,≥ 1860
"0,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"1,5",6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"1,8",9,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4
"2,1",12,10,8,8,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4
"2,4",17,13,11,9,9,7,7,6,6,6,5,5,5,4,4,4,4,4,4
"2,7",21,16,13,12,10,9,8,7,7,7,6,6,5,5,5,4,4,4,4
"3,0",27,20,16,14,12,11,9,8,8,7,7,7,6,5,5,5,4,4,4
"4,6",69,48,38,31,27,21,18,16,14,13,12,12,9,8,7,6,6,5,4
"6,1",100,91,70,57,48,38,31,27,24,22,20,18,16,12,10,9,7,6,5
"7,6",100,100,100,91,77,59,48,41,36,32,29,27,20,16,14,11,9,7,5
"9,0",100,100,100,100,100,86,59,56,52,46,42,38,27,22,18,15,12,8,6
"> 9,0",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
