Đặc điểm,"Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 240","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 180","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 120","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 90","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 60","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa - R 30"
1. Bê tông dùng cốt liệu gốc silic:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép ứng suất trước (thanh, cáp)",1001),851),651),501),40,25
b) Chiều rộng tiết diện dầm,280,240,180,140,110,80
"2. Bê tông dùng cốt liệu gốc silic, có trát thạch cao dày 15 mm trên lưới thép mảnh:",,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép ứng suất trước (thanh, cáp)",901),75,50,40,30,15
b) Chiều rộng tiết diện dầm,250,210,170,110,85,70
3. Bê tông dùng cốt liệu gốc silic có trát vermiculite/thạch cao2) dày 15 mm:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép ứng suất trước (thanh, cáp)",751),60,45,30,25,15
b) Chiều rộng tiết diện dầm,170,145,125,85,60,60
4. Bê tông dùng cốt liệu gốc silic có trát vermiculite/thạch cao 2) dày 25 mm:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép ứng suất trước (thanh, cáp)",50,45,30,25,15,15
b) Chiều rộng tiết diện dầm,140,125,85,70,60,60
5. Bê tông dùng cốt liệu nhẹ:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép ứng suất trước (thanh, cáp)",80,65,50,40,30,20
b) Chiều rộng tiết diện dầm,250,200,160,130,100,80
