Kết cấu sàn,"Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa (2)","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa (3)","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa (4)","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa (5)","Giá trị nhỏ nhất của thông số, mm, để bảo đảm giới hạn chịu lửa (6)"
Kết cấu sàn,REI,REI,REI,REI,REI,REI
Kết cấu sàn,240,180,120,90,60,30
(1),(2),(3),(4),(5),(6),(7)
1. Sàn đặc:,,,,,,
a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực,25,25,20,20,15,15
b) Chiều cao tổng thể 1) của tiết diện,150,150,125,125,100,100
2. Sàn có lỗ rỗng với lỗ rỗng tiết diện tròn hoặc hộp. Phần diện tích tiết diện đặc phải chiếm không ít hơn 50 % tổng diện tích tiết diện ngang của sàn:,,,,,,
a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực,25,25,20,20,15,15
b) Chiều dày của phần bê tông dưới lỗ rỗng,50,40,40,30,25,20
c) Chiều cao tổng thể 1) của tiết diện,190,175,160,140,110,100
3. Sàn tiết diện rỗng có một hoặc nhiều khoang rỗng hình hộp theo chiều dọc với chiều rộng lớn hơn chiều cao:,,,,,,
a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực,25,25,20,20,15,15
b) Chiều dày của bản cánh phía dưới,50,40,40,30,25,20
c) Chiều cao tổng thể 1) của tiết diện,230,205,180,155,130,105
"4. Sàn sườn có phần rỗng chèn bằng block đất sét nung, hoặc dầm chữ T ngược có phần rỗng được chèn bằng block bê tông hoặc block đất sét nung. Nếu sàn có phần diện tích tiết diện đặc nhỏ hơn 50 % tổng diện tích tiết diện ngang thì phải được trát một lớp dày 15 mm ở bề mặt phía dưới:",,,,,,
a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực,25,25,20,20,15,15
"b) Chiều rộng tiết diện sườn hoặc dầm chữ T, đo ở mặt đáy",125,100,90,80,70,50
c) Chiều cao tổng thể 1) của tiết diện,190,175,160,140,110,100
5. Tiết diện chữ T:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực, đo ở mặt đáy",65 2),55 2),45 2),35,25,15
"b) Chiều dày của lớp bê tông bảo vệ cốt thép chịu lực, đo ở mặt bên",65,55,45,35,25,15
c) Chiều rộng tiết diện sườn hoặc của bụng dầm,150,140,115,90,75,60
d) Chiều dày cánh,150,150,125,125,100,90
6. Tấm sàn tiết diện chữ U ngược có bán kính cong tại giao điểm giữa bản đáy với sườn của sàn không lớn hơn chiều cao tiết diện:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực, đo ở mặt đáy",65 2),55 2),45 2),35,25,15
"b) Chiều dày của lớp bê tông bảo vệ cốt thép, đo ở mặt bên",40,30,25,20,15,10
c) Chiều rộng của sườn hoặc của chân chữ U,75,70,60,45,40,30
d) Chiều dày tại bản phía trên,150,150,125,125,100,90
7. Tấm sàn tiết diện chữ U ngược hoặc chữ U có bán kính cong tại giao điểm giữa bản đáy với sườn của sàn lớn hơn chiều cao tiết diện:,,,,,,
"a) Chiều dày trung bình của lớp bê tông bảo vệ cốt thép chịu lực, đo ở mặt đáy",65 2),55 2),45 2),35,25,15
"b) Chiều dày của lớp bê tông bảo vệ cốt thép, đo ở mặt bên",40,30,25,20,15,10
c) Chiều rộng sườn hoặc của chân chữ U,70,60,50,40,35,25
d) Chiều dày tại bản phía trên,150,150,100,100,75,65
