Kết cấu và vật liệu bọc bảo vệ,"Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa","Chiều dày nhỏ nhất, mm, của lớp bảo vệ để bảo đảm giới hạn chịu lửa"
Kết cấu và vật liệu bọc bảo vệ,R 240,R 180,R 120,R 90,R 60,R 30
A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát),A. Lớp bảo vệ dạng đặc 1) (không trát)
"1. Bê tông dùng cốt liệu tự nhiên, không nghèo hơn so với cấp phối 1:2:4 2):",,,,,,
"a) Bê tông không tham gia chịu lực, có cốt thép3)",50,-,25,25,25,25
"b) Bê tông có tham gia chịu lực, có cốt thép (được thiết kế theo tiêu chuẩn lựa chọn áp dụng)",75,-,50,50,50,50
2. Gạch đặc đất sét nung,100,75,50,50,50,50
"3. Block đặc bằng bê tông xỉ bọt hoặc bê tông pumice, có cốt thép3) tại tất cả các mạch ngang",75,60,50,50,50,50
B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4),B. Lớp bảo vệ dạng rỗng 4)
"1. Gạch đặc đất sét nung có cốt thép tại tất cả các mạch ngang, không trát",115,-,50,50,50,50
"2. Block đặc bằng bê tông xỉ bọt hoặc bê tông pumice có cốt thép 2) tại tất cả các mạch ngang, không trát",75,,50,50,50,50
