Gian phòng,Bậc chịu lửa của nhà,"Khoảng cách giới hạn cho phép, m, từ 1 điểm bất kỳ của gian phòng tới lối ra thoát nạn gần nhất với khối tích gian phòng, 1 000 m3 - ≤ 5","Khoảng cách giới hạn cho phép, m, từ 1 điểm bất kỳ của gian phòng tới lối ra thoát nạn gần nhất với khối tích gian phòng, 1 000 m3 - > 5 và ≤ 10","Khoảng cách giới hạn cho phép, m, từ 1 điểm bất kỳ của gian phòng tới lối ra thoát nạn gần nhất với khối tích gian phòng, 1 000 m3 - > 10"
(1),(2),(3),(4),(5)
"1. Các gian phòng chờ, bán vé, trưng bày triển lãm, khiêu vũ, nghỉ và tương tự.","I, II",30,45,55
"1. Các gian phòng chờ, bán vé, trưng bày triển lãm, khiêu vũ, nghỉ và tương tự.","III, IV",20,30,Xem chú thích
"1. Các gian phòng chờ, bán vé, trưng bày triển lãm, khiêu vũ, nghỉ và tương tự.",V,15,Xem chú thích,Xem chú thích
"2. Các gian phòng ăn, phòng đọc khi diện tích của mỗi lối đi chính tính theo đầu người không nhỏ hơn 0,2 m2.","I, II",65,Xem chú thích,Xem chú thích
"2. Các gian phòng ăn, phòng đọc khi diện tích của mỗi lối đi chính tính theo đầu người không nhỏ hơn 0,2 m2.","III, IV",45,Xem chú thích,Xem chú thích
"2. Các gian phòng ăn, phòng đọc khi diện tích của mỗi lối đi chính tính theo đầu người không nhỏ hơn 0,2 m2.",V,30,Xem chú thích,Xem chú thích
3. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng không nhỏ hơn 25 %.,"I, II",50,65,80
3. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng không nhỏ hơn 25 %.,"III, IV",35,45,Xem chú thích
3. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng không nhỏ hơn 25 %.,V,25,Xem chú thích,Xem chú thích
4. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng nhỏ hơn 25 %.,"I, II",25,30,35
4. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng nhỏ hơn 25 %.,"III, IV",15,20,Xem chú thích
4. Các gian phòng thương mại khi diện tích của các lối đi chính tính theo phần trăm diện tích của gian phòng nhỏ hơn 25 %.,V,10,Xem chú thích,Xem chú thích
