"Khối tích của gian phòng, 1000 m3",Hạng của gian phòng,Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Khoảng cách, m, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2 - ≤ 1","Khoảng cách, m, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2 - > 1 và ≤ 3","Khoảng cách, m, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2 - > 3 và ≤ 5"
≤ 15,"A, B","I, II, III, IV",S0,40,25,15
≤ 15,"C1, C2, C3","I, II, III, IV",S0,100,60,40
≤ 15,"C1, C2, C3","III, IV",S1,70,40,30
≤ 15,"C1, C2, C3",V,"S2, S3",50,30,20
30,"A, B","I, II, III, IV",S0,60,35,25
30,"C1, C2, C3","I, II, III, IV",S0,145,85,60
30,"C1, C2, C3","III, IV",S1,100,60,40
40,"A, B","I, II, III, IV",S0,80,50,35
40,"C1, C2, C3","I, II, III, IV",S0,160,95,65
40,"C1, C2, C3","III, IV",S1,110,65,45
50,"A, B","I, II, III, IV",S0,120,70,50
50,"C1, C2, C3","I, II, III, IV",S0,180,105,75
50,"C1, C2, C3","III, IV",S1,160,95,65
≥ 60,"A, B","I, II, III, IV",S0,140,85,60
≥ 60,"C1, C2, C3","I, II, III, IV",S0,200,110,85
≥ 60,"C1, C2, C3","III, IV",S1,180,105,75
≥ 80,"C1, C2, C3","I, II, III, IV",S0,240,140,100
≥ 80,"C1, C2, C3","III, IV",S1,200,110,85
Không phụ thuộc vào khối tích,"C4, D","I, II, III, IV",S0,Không hạn chế,Không hạn chế,Không hạn chế
Không phụ thuộc vào khối tích,"C4, D","III, IV",S1,160,95,65
Không phụ thuộc vào khối tích,"C4, D",V,Không quy định,120,70,50
Không phụ thuộc vào khối tích,E,"I, II, III, IV","S0, S1",Không hạn chế,Không hạn chế,Không hạn chế
Không phụ thuộc vào khối tích,E,"IV, V","S2, S3",160,95,65
