"Khối tích của gian phòng, 1 000 m3",Hạng của gian phòng,Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Số lượng người tối đa trên 1 m chiều rộng của lối ra thoát nạn từ một gian phòng, người"
≤ 15,"A, B","I, II, III, IV",S0,45
≤ 15,"C1, C2, C3","I, II, III, IV",S0,110
≤ 15,"C1, C2, C3","III, IV",S1,75
≤ 15,"C1, C2, C3",Không quy định,"S2, S3",55
30,"A, B","I, II, III, IV",S0,65
30,"C1, C2, C3","I, II, III, IV",S0,155
30,"C1, C2, C3","III, IV",S1,110
40,"A, B","I, II, III, IV",S0,85
40,"C1 , C2, C3","I, II, III, IV",S0,175
40,"C1 , C2, C3","III, IV",S1,120
50,"A, B","I, II, III, IV",S0,130
50,"C1, C2, C3","I, II, III, IV",S0,195
50,"C1, C2, C3","III, IV",S1,135
≥ 60,"A, B","I, II, III, IV",S0,150
≥ 60,"C1, C2, C3","I, II, III, IV",S0,220
≥ 60,"C1, C2, C3","III, IV",S1,155
≥ 80,"C1, C2, C3","I, II, III, IV",S0,260
≥ 80,"C1, C2, C3","III, IV",S1,220
Không phụ thuộc vào khối tích,"C4, D","I, II, III, IV",S0,260
Không phụ thuộc vào khối tích,"C4, D","III, IV",S1,180
Không phụ thuộc vào khối tích,"C4, D",Không quy định,"S2, S3",130
Không phụ thuộc vào khối tích,E,Không quy định,Không quy định,Không quy định
