Vị trí cửa ra của gian phòng,Hạng của gian phòng,Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Khoảng cách đi theo hành lang, m, từ cửa gian phòng đến lối ra thoát nạn gần nhất, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2","Khoảng cách đi theo hành lang, m, từ cửa gian phòng đến lối ra thoát nạn gần nhất, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2","Khoảng cách đi theo hành lang, m, từ cửa gian phòng đến lối ra thoát nạn gần nhất, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2","Khoảng cách đi theo hành lang, m, từ cửa gian phòng đến lối ra thoát nạn gần nhất, khi mật độ dòng người thoát nạn trên lối đi chung, người/m2"
Vị trí cửa ra của gian phòng,Hạng của gian phòng,Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,≤ 2,> 2 và ≤ 3,> 3 và ≤ 4,> 4 và ≤ 5
1. Ở giữa hai lối ra thoát nạn,"A, B","I, II, III, IV",S0,60,50,40,35
1. Ở giữa hai lối ra thoát nạn,"C1, C2, C3","I, II, III, IV",S0,120,95,80,65
1. Ở giữa hai lối ra thoát nạn,"C1, C2, C3","III, IV",S1,85,65,55,45
1. Ở giữa hai lối ra thoát nạn,"C1, C2, C3",Không quy định,"S2, S3",60,50,40,35
1. Ở giữa hai lối ra thoát nạn,"C4, D, E","I, II, III, IV",S0,180,140,120,100
1. Ở giữa hai lối ra thoát nạn,"C4, D, E","III, IV",S1,125,100,85,70
1. Ở giữa hai lối ra thoát nạn,"C4, D, E",Không quy định,"S2, S3",90,70,60,50
2. Đi vào hành lang cụt,Không phụ thuộc vào hạng,"I, II, III, IV",S0,30,25,20,15
2. Đi vào hành lang cụt,Không phụ thuộc vào hạng,"III, IV",S1,20,15,15,10
2. Đi vào hành lang cụt,Không phụ thuộc vào hạng,Không quy định,"S2, S3",15,10,10,8
