"Không gian sử dụng 2), 3)","Hệ số không gian sàn, m2/người"
"1. Khu vực vui chơi có mái che, hội trường, nơi đông người, câu lạc bộ, sàn nhảy, quầy Bar, Karaoke và các khu tương tự","1,0"
"2. Sảnh lớn, sảnh thông tầng, khu tiếp đón, khu khách chờ, và tương tự","3,0"
"3. Phòng họp, phòng khách, phòng hội thảo, phòng ăn, phòng đọc, phòng học, căng-tin, và các gian phòng tương tự","1,5"
"4. Nhà chợ, trung tâm thương mại, siêu thị","3,0"
"5. Phòng triển lãm hoặc trường quay (phim, thu phát sóng, truyền hình, ghi âm)","1,5"
"6. Các cửa hàng mua bán, dịch vụ: bách hóa, dịch vụ cắt, uốn tóc, giặt là, sửa chữa hoặc tương tự","3,0"
"7. Phòng trưng bày nghệ thuật, khu trưng bày sản phẩm, bảo tàng hoặc các khu tương tự","5,0"
8. Văn phòng,"6,0"
"9. Các cửa hàng bán đồ nội thất lớn như bàn ghế, đồ trải sàn và tương tự","7,0"
10. Nhà bếp hoặc thư viện,"7,0"
11. Phòng ngủ hoặc phòng ngủ kết hợp phòng học,"8,0"
"12. Phòng khách, phòng giải trí","10,0"
13. Kho hoặc nơi chứa đồ,"30,0"
14. Nhà để xe ôtô,2 người/ô để xe
