Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Chiều cao PCCC lớn nhất cho phép của nhà, m","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)","Diện tích lớn nhất cho phép của một tầng nhà trong phạm vi một khoang cháy, m2, với số tầng trên mặt đất (không tính tầng kỹ thuật trên cùng)"
Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,"Chiều cao PCCC lớn nhất cho phép của nhà, m",1,2,3,"4,5",6 đến 9,10 đến 16
I,S0,50,6 000,5 000,5 000,5 000,5 000,2 500
II,S0,50,6 000,4 000,4 000,4 000,4 000,2 200
II,S1,28,5 000,3 000,3 000,2 000,1 200,-
III,S0,15,3 000,2 000,2 000,1 200,-,-
III,S1,12,2 000,1 400,1 200,800,-,-
IV,S0,9,2 000,1 400,-,-,-,-
IV,S1,6,2 000,1 400,-,-,-,-
IV,"S2, S3",6,1 200,800,-,-,-,-
V,"S1, S2, S3",6,1 200,800,-,-,-,-
