Loại hình - hạng mục,"Tỷ lệ diện tích đất, %"
1. Cơ sở tái chế chất thải rắn,100
1.1. Khu chứa + phân loại chất thải rắn trước khi tái chế,≤ 30
1.2. Khu tái chế chất thải rắn,≤ 20
1.3. Khu nhà điều hành và công trình phụ trợ khác,≤ 20
1.4. Đất giao thông,≥ 15
"1.5. Đất cây xanh, mặt nước",≥ 15
2. Cơ sở xử lý chất thải rắn theo công nghệ sinh học,100
2.1. Khu xử lý + bãi ủ + kho chứa sản phẩm,≤ 60
2.2. Khu nhà điều hành và công trình phụ trợ khác,≤ 15
2.3. Đất giao thông,≥ 10
"2.4. Đất cây xanh, mặt nước",≥ 15
3. Cơ sở đốt chất thải rắn,100
3.1. Khu lò đốt và các công trình BVMT,≤ 50
"3.2. Khu chôn lấp tro, xỉ",≤ 10
3.3. Khu nhà điều hành và các công trình phụ trợ khác,≤ 15
3.4. Đất giao thông,≥ 10
"3.5. Đất cây xanh, mặt nước",≥ 15
4. Bãi chôn lấp chất thải rắn hợp vệ sinh,100
4.1. Các ô chôn lấp chất thải rắn,≤ 40
4.2. Khu xử lý nước rỉ rác.,≤ 15
4.3. Khu nhà điều hành và công trình phụ trợ khác,≤ 15
4.4. Đất giao thông,≥ 10
"4.5. Đất cây xanh, mặt nước",≥ 20
5. Bãi chôn lấp chất thải nguy hại,100
5.1. Các ô chôn lấp chất thải rắn,≤ 40
5.2. Khu xử lý nước rỉ rác,≤ 10
5.3. Khu nhà điều hành và công trình phụ trợ khác,≤ 20
5.4. Đất giao thông,≥ 15
"5.5. Đất cây xanh, mặt nước",≥ 15
6. Khu xử lý chất thải rắn tập trung,100
6.1. Nhóm các công trình chức năng:<br>&nbsp;&nbsp;\- Cơ sở tái chế chất thải rắn;<br>&nbsp;&nbsp;\- Cơ sở xử lý chất thải rắn theo công nghệ sinh học;<br>&nbsp;&nbsp;\- Cơ sở đốt chất thải rắn;<br>&nbsp;&nbsp;\- Bãi chôn lấp chất thải rắn hợp vệ sinh;<br>&nbsp;&nbsp;\- Bãi chôn lấp chất thải nguy hại;<br>&nbsp;&nbsp;\- Cơ sở xử lý khác.,≤ 65
6.2. Nhà điều hành và công trình phụ trợ khác,≤ 10
6.3. Đất giao thông,≥ 10
"6.4. Đất cây xanh, mặt nước",≥ 15
