Cấp đường,Loại đường,"Tốc độ thiết kế, km/h <sup>1)</sup>",Số làn xe 2 chiều,"Chiều rộng 1 làn xe, m","Chiều rộng dài an toàn, m<sup>2)</sup>","Chiều rộng đường tối thiểu, m"
Cấp đô thị,,100,4,"3,75","0,75","27,50"
Cấp đô thị,1. Đường cao tốc đô thị,80,4,"3,75","0,50","27,00"
Cấp đô thị,,60,4,"3,50","0,50","24,50"
Cấp đô thị,,100,4,"3,75","0,75","30,50"
Cấp đô thị,2. Đường trục chính đô thị,80,4,"3,75","0,50","30,00"
Cấp đô thị,,60,4,"3,50","0,50","26,00"
Cấp đô thị,,100,4,"3,75","0,75","30,50"
Cấp đô thị,3. Đường chính đô thị,80,4,"3,75","0,50","30,00"
Cấp đô thị,,60,4,"3,50","0,50","26,00"
Cấp đô thị,4. Đường liên khu vực,80,4,"3,75","0,50","30,00"
Cấp đô thị,4. Đường liên khu vực,60,4,"3,50","0,50","26,00"
Cấp khu vực,5. Đường chính khu vực,60,4,"3,50","0,50","24,00"
Cấp khu vực,5. Đường chính khu vực,50,4,"3,50","0,25","23,00"
Cấp khu vực,6. Đường khu vực,50,2,"3,50","0,25","16,50"
Cấp khu vực,6. Đường khu vực,40,2,"3,50",-,"16,00"
Cấp nội bộ,7. Đường phân khu vực,40,2,"3,50",-,"13,00"
Cấp nội bộ,"8. Đường nhóm nhà ở, đường cụt","20, 30",2,"3,00",-,"10,00"
Cấp nội bộ,9. Đường xe đạp,-,2,"1,50",-,"3,00"
Cấp nội bộ,10. Đường đi bộ,-,2,"0,75",-,"1,50"
