Loại đường,"Độ rọi mặt đường, lx — Trung bình, $E_{n,tb}$","Độ rọi mặt đường, lx — Tối thiểu, $E_{n,min}$","Độ rọi bán trụ ($E_{bt}$), lx"
1. Phố buôn bán có giao thông hỗn hợp,,,
"&nbsp;&nbsp;\- Đô thị loại đặc biệt, loại I và loại II",25,10,10
"&nbsp;&nbsp;\- Đô thị loại III, loại IV và loại V",20,8,8
2. Phố buôn bán dành riêng đi bộ,,,
"&nbsp;&nbsp;\- Đô thị loại đặc biệt, loại I và loại II",15,5,5
"&nbsp;&nbsp;\- Đô thị loại III, loại IV và loại V",10,3,4
"3. Đường đi bộ, xe đạp ở công viên, vườn hoa và các khu vực khác với lưu lượng người:",,,
&nbsp;&nbsp;\- Cao (> 6 người/10 $m^{2}$ đường),15,5,5
&nbsp;&nbsp;\- Trung bình (3 ÷ 6 người/10 $m^{2}$ đường),8,4,3
&nbsp;&nbsp;\- Thấp (≤ 2 người/10 $m^{2}$ đường),5,2,2
"4. Cầu thang bộ, cầu vượt",40,20,10
