Loại thiết bị,"Năng suất lạnh, kW","$COP_{Min}$, kW/kW"
"Chiller giải nhiệt bằng không khí, chạy điện. Bình ngưng gắn liền hoặc tách rời",Tất cả,"2,80"
"Chiller piston, giải nhiệt nước, chạy điện","Theo yêu cầu của Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện","Theo yêu cầu của Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện"
"Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện",< 264,"4,51"
"Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện",≥ 264 và < 528,"4,53"
"Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện",≥ 528 và < 1055,"5,17"
"Chiller xoắn ốc và trục vít, giải nhiệt nước, chạy điện",≥ 1055,"5,67"
"Chiller ly tâm, giải nhiệt nước, chạy điện",< 528,"5,55"
"Chiller ly tâm, giải nhiệt nước, chạy điện",≥ 528 và < 1055,"5,55"
"Chiller ly tâm, giải nhiệt nước, chạy điện",≥ 1055 và < 2110,"6,11"
"Chiller ly tâm, giải nhiệt nước, chạy điện",≥ 2110,"6,17"
"Chiller hấp thụ giải nhiệt bằng không khí, 1 cấp",Tất cả,"0,60<sup>(*)</sup>"
"Chiller hấp thụ nhiệt nước, 2 cấp",Tất cả,"0,70<sup>(*)</sup>"
"Chiller hấp thụ, 2 cấp. Đốt gián tiếp",Tất cả,"1,00<sup>(*)</sup>"
"Chiller hấp thụ, 2 cấp. Đốt trực tiếp",Tất cả,"1,00<sup>(*)</sup>"
