"Công suất ra của động cơ, kW",Động cơ kiểu hở — 2 cực — Tốc độ (vòng / phút) — 3600,Động cơ kiểu hở — 4 cực — Tốc độ (vòng / phút) — 1800,Động cơ kiểu hở — 6 cực — Tốc độ (vòng / phút) — 1200,Động cơ kiểu kín — 2 cực — Tốc độ (vòng / phút) — 3600,Động cơ kiểu kín — 4 cực — Tốc độ (vòng / phút) — 1800,Động cơ kiểu kín — 6 cực — Tốc độ (vòng / phút) — 1200
"0,8","77,0","85,5","82,5","77,0","85,5","82,5"
"1,1","84,0","86,5","86,5","84,0","86,5","87,5"
"1,5","85,5","86,5","87,5","85,5","86,5","88,5"
"2,2","85,5","89,5","88,5","96,5","89,5","89,5"
"3,7","86,5","89,5","89,5","88,5","89,5","89,5"
"5,6","88,5","91,0","90,2","89,5","91,7","91,0"
"7,5","89,5","91,7","91,7","90,2","91,7","91,0"
"11,1","90,2","93,0","91,7","91,0","92,4","91,7"
"14,9","91,0","93,0","92,4","91,0","93,0","91,7"
"18,7","91,7","93,6","93,0","91,7","93,6","93,0"
"22,4","91,7","94,1","93,6","91,7","93,6","93,0"
"29,8","92,4","94,1","94,1","92,4","94,1","94,1"
"37,3","93,0","94,5","94,1","93,0","94,5","94,1"
"44,8","93,6","95,0","94,5","93,6","95,0","94,5"
"56,0","93,6","95,0","94,5","93,6","95,4","94,5"
"74,6","93,6","95,4","95,0","94,1","95,4","95,0"
"93,3","94,1","95,4","95,0","95,0","95,4","95,0"
"111,9","94,1","95,8","95,4","95,0","95,8","95,8"
"149,2","95,0","95,8","95,4","95,4","96,2","95,8"
"186,5","95,0","95,8","95,4","95,8","96,2","95,8"
"223,8","95,4","95,8","95,4","95,8","96,2","95,8"
"261,1","95,4","95,8","95,4","95,8","96,2","95,8"
"298,4","95,8","95,8","95,8","95,8","96,2","95,8"
"357,7","95,8","96,2","96,2","95,8","96,2","95,8"
"373,0","95,8","96,2","96,2","95,8","96,2","95,8"
