STT,Đối tượng bảo vệ,Hệ thống báo cháy tự động,Hệ thống chữa cháy tự động
1,Buồng sơn sử dụng chất lỏng dễ cháy hoặc chất lỏngcháy(1),-,Không phụ thuộc vào quy mô
2,"Tháp thu hồi chất thải (ví dụ: bụi, than, mùn)dễ cháy(1)",-,Không phụ thuộc vào quy mô
3,Máybiến áplàm mát bằngdầu:,,
3.1,Điện áp 110 kV được đặt trong gian phòngcủa trạm biến áp,Không phụ thuộc công suất,Công suất từ 63 MVA trở lên
3.2,Điện áp 110 kV lắp đặt trong các nhà máyđiện,Công suất từ 63 MVA trở lên,Công suất từ 63 MVA trở lên
3.3,Điện áp 220 kV,Không phụ thuộc công suất,Công suất từ 200 MVA trở lên
3.4,Điện áp 500 kV trở lên,Không phụ thuộc công suất,Không phụ thuộc công suất
4,Máy biến áp của trạm biến áp không người trực,Không phụ thuộc công suất,Công suất từ 125 MVA trở lên
5,Máy biến áp đặt trong gian phòng của nhà có công năng khác (không bao gồm mục 3 của bảngnày),Không phụ thuộc công suất,Công suất từ 63 MVA trở lên hoặc điện áp từ 110 kV trở lên
6,"Các trạm điện thử nghiệm dùng máy phát điện diezel, xăng thiết kế trên xe ô tô hoặc rơ moóc",-,Không phụ thuộc vào diện tích
