STT,"Loại nhà, công trình",Quy mô
1.,"Nhà ở,côngtrình côngcộng",
1.1.,"Nhà ở riêng lẻ kết hợp kinh doanh dịch vụ, nhà ở riêng lẻ kết hợp sản xuất, kinh doanh hàng hóa dễ cháy có phần tổng diện tích sàn để sản xuất, kinh doanh không quá 70 % tổng diện tích của nhà",Cao từ 7 tầng trở lên
1.2.,"Chung cư, nhà chung cư được xây dựng có mục đích sử dụng hỗn hợp, nhà ở tập thể, ký túc xá thuộc cơ sở giáo dục theo quy định của pháp luật về giáo dục; khách sạn, nhà khách, nhà nghỉ; nhà thuộc cơ sở nghỉ dưỡng, nhà thuộc cơ sở dịch vụlưu trú khác;nhà hỗn hợp",Cao từ 5 tầng trở lên hoặc tổng diện tích sàn từ 1 500 m2 trở lên
1.3.,"Nhà trẻ, trường mẫu giáo, trường mầm non và cơ sở giáo dục mầm non khác theo quy định của pháp luật về giáo dục",Từ 100 cháu trở lên hoặc cao từ 03 tầng trở lên hoặc tổng diện tích sàn từ 1 000 m2trở lên
1.4.,"Trường tiểu học; trường trung học cơ sở; trường trung học phổ thông; trường phổ thông có nhiều cấp học; trường đại học, trường cao đẳng; trường trung học chuyên nghiệp; trường dạy nghề; trường công nhân kỹ thuật; nhà thuộc cơ sở giáo dục khác theo quy định của pháp luật về giáo dục (ngoại trừ mục 1.3 Bảng này); nhà khám, chữa bệnh, lưu trú bệnh nhân của bệnh viện; nhà hộ sinh, trạm y tế, phòng khám đa khoa, chuyên khoa; nhà điều dưỡng, phục hồi chức năng, chỉnh hình; nhà thuộc cơ sở phòng chống dịch bệnh; nhà thuộc cơ sở y tế khác theo quy định của Luật Khám bệnh, chữa bệnh.",Cao từ 3 tầng trở lên hoặc tổng diện tích sàn từ 600 m2 trở lên
1.5.,"Khối nhà của các công trình thủy cung, cơ sở kinh doanh dịch vụ vui chơi, giải trí, cơ sở biểu diễn nghệ thuật, hoạt động văn hóa khác; bảo tàng, nhà triển lãm, nhà trưng bày; nhà cho mục đích tôn giáo, tín ngưỡng thuộc cơ sở tôn giáo, cơ sở tín ngưỡng (trừ nhà thờ dòng họ), công trình di tích lịch sử - văn hóa cấp tỉnh trở lên; sân vận động, nhà thi đấu, nhà tập luyện các môn thể thao, nhà thuộc cơ sở thể thao khác được thành lập theo quy định của Luật Thể dục, thể thao; xưởng kiểm định thuộc trungtâm đăngkiểmphươngtiệngiao thông",Cao từ 6 tầng trở lên hoặc tổng diện tích sàn từ 1 500 m2 trở lên
1.6.,"Nhà hát, rạp chiếu phim, rạp xiếc",Từ 300 chỗ ngồi trở lên hoặc tổng diện tích sàn từ 1 000 m2 trở lên
1.7.,"Thư viện; nhà văn hóa, trung tâm hội nghị, nhà đa năng; cửa hàng điện máy, cửa hàng bách hóa, cửa hàng tiện ích và các cửa hàng kinh doanh hàng hóa dễ cháy theo quy định của phápluật",Tổng diện tích sàn từ 1 500 m2 trở lên
1.8.,"Nhà sử dụng làm trụ sở, văn phòng làm việc; nhà thuộc cơ sở nghiên cứu chuyên ngành; bưu điện; bưu cục, nhà thuộc cơ sở cungcấpdịch vụbưu chính,viễn thôngkhác",Cao từ 6 tầng trở lên hoặc tổng diện tích sàn từ 1 500 m2 trở lên
1.9.,"Nhà sử dụng với mục đích kinh doanh dịch vụ karaoke, vũ trường thuộc cơ sở kinh doanh dịch vụkaraoke,vũ trường",
1.9.1.,"Bố trí tại tầnghầm,tầngbán hầm",Không phụthuộc vào diện tích
1.9.2.,Bố trí tại các tầngtrên mặt đất,
1.9.2.1,"Một tầng, hai tầng",Tổng diện tích sàn từ 300 m2 trở lên
1.9.2.2,Từ ba tầngtrở lên,Không phụthuộc vào diện tích
1.10.,"Chợ hạng 1, chợ hạng 2, trung tâm thương mại, siêu thị (ngoại trừ các nhà trưngbàybán xe ô tô,xe máy)",Không phụ thuộc vào diện tích
1.11.,"Nhà hàng, cửa hàng ăn uống, nhà ăn của cơ sở thuộc diện quản lý về phòng cháy, chữa cháy",Cao từ 6 tầng trở lên hoặc tổng diện tích sàn từ 1 500 m2 trở lên
1.12.,"Đài kiểm soát không lưu; nhà ga hành khách, nhà ga hàng hóa thuộc cảng hàng không; nhà ga hàng hóa, đề-pô (depot) đường sắt; nhà ga cáp treo; nhà ga hành khách, đề-pô (depot) đường sắt đô thị; nhà ga cáp treo; các nhà dịch vụ thuộc cảng, bến thủy nội địa, bến cảng biển, bến xe khách, trạm dừng nghỉ,cảngcạn",Cao từ 6 tầng trở lên hoặc tổng diện tích sàn từ 1 500 m2 trở lên
2.,"Nhà sản xuất, nhà kho hạng nguy hiểm cháy và cháy nổ A, B, C,D",Tổng diện tích sàn từ 500 m2 trở lên
3.,"Nhà (sử dụng với mục đích) để xe ô tô, xe máy, trưng bày ô tô, xe máy",
3.1.,Dạng kín,Tổng diện tích sàn từ 150 m2 trở lên
3.2.,Dạng hở (ngoại trừ gara ô tô cơ khí),Tổng diện tích sàn từ 1 000 m2 trở lên
4.,Hầmgiao thôngđườngbộ (hầm đườngô tô),Có chiều dài từ 500 m trở lên
5.,"Nhà kỹ thuật máy bay; cơ sở đóng mới, sửa chữa, bảo dưỡng phương tiện thủy nội địa, tàu biển; nhà sửa chữa, bảo dưỡng phươngtiệngiao thôngcơgiới đườngbộ",Tổng diện tích sàn từ 1 000 m2 trở lên
