TT,"Loại nhà, công trình",Quy mô
1.,"Nhà khám, chữa bệnh, lưu trú bệnh nhân của bệnh viện",Cao từ 5 tầng trở lên hoặc tổng diện tích sàn từ 3 000 m2trở lên
2.,"Chợhạng1,chợhạng2,trungtâm thươngmại",Không phụthuộc vàoquymô
3.,"Nhà ga hành khách, nhà ga hàng hóa thuộc cảng hàng không; nhà kỹ thuật máy bay; cảng, bến thủy nội địa cấp đặc biệt, cấp I; bến cảng biển cấp đặc biệt, cấp I; cảng cá loại I, loại II; cảng cạn; nhà ga hành khách, nhà ga hàng hóa, đề-pô (depot) đường sắt; nhà ga hành khách, đề-pô (depot) đường sắt đô thị; trạm dừngnghỉ(1)",Không phụ thuộc quy mô
4.,Hầmgiao thôngđườngbộ (hầm đườngô tô),Có chiều dài từ 500 m trở lên
5.,"Cơ sở đóng mới, sửa chữa, bảo dưỡng phương tiện thủy nội địa,tàu biển",Tổng diện tích sàn từ 1 500 m2trở lên
6.,Nhà máynhiệt điện;trạm biến ápcó điện áptừ 220 kV trở lên,Không phụthuộcquymô
7.,"Nhà máy lọc dầu; nhà máy lọc, hóa dầu; nhà máy chế biến khí; nhà máy sản xuất nhiên liệu sinh học; kho chứa dầu mỏ, sản phẩm dầu mỏ; kho chứa khí hóa lỏng(2); cảng xuất, nhập dầu mỏ và sảnphẩm dầu mỏ",Không phụ thuộc quy mô
8.,"Cơ sở sản xuất vật liệu nổ,tiền chất thuốc nổ côngnghiệp",Không phụthuộcquymô
,"Kho cố định chứa vật liệu nổ,tiền chất thuốc nổ côngnghiệp",Từ 20 tấn thuốc nổ trở lên
9.,"Khu liên hợp gangthép;nhà máysản xuất,lắprápô tô(3)",Không phụthuộcquymô
,"Công trình sản xuất săm, lốp ô tô(3)",Tổng sản lượng trên 1 triệu chiếc/năm
,"Công trình sản xuất, kho trạm chiết nạp sản phẩm hóa dầu(3)",Tổng sản lượng trên 50 nghìn tấn sảnphẩm/năm
10.,"Khu dân cư trong đô thị và nông thôn; khu đô thị, khu nhà ở, khu công nghiệp, cụm công nghiệp, khu du lịch, khu nghiên cứu, đào tạo,khu thể dục,thể thao.",Không phụ thuộc quy mô
