Loại nhà,Khối tích ≤ 1 000 m3 (L/s),Khối tích > 1 và ≤ 5 000 m3 (L/s),Khối tích > 5 và ≤ 25 000 m3 (L/s),Khối tích > 25 và ≤ 50 000 m3 (L/s),Khối tích > 50 000 m3 (L/s)
"1. Nhà nhóm F1.3, F1.4 có một hoặc nhiều đơn nguyên với số tầng:",,,,,
≤ 3,10(1),10(1),15,15,20
> 3 và ≤ 12,10,15,15,20,20
> 12 và ≤ 16,-,20,20,25,25
> 16,-,20,25,25,30
"2. Nhà nhóm F1.1, F1.2, F2, F3 và F4 với số tầng:",,,,,
≤ 3,10(1),10(1),15,20,25
> 3 và ≤ 12,10,15,20,25,30
> 12 và ≤ 16,-,20,25,30,35
> 16,-,25,30,30,35
(1)Đối với nhà thuộc khu vực nôngthôn lấylưu lượngnước cho 1 đám cháylà 5 L/s.,,,,,
