Bậc chịu lửa của nhà,Cấp nguy hiểm cháy kết cấu của nhà,Hạng nguy hiểm cháy và cháy nổ của nhà,< 3 000 m3 (L/s),> 3 và ≤ 5 000 m3 (L/s),> 5 và ≤ 20 000 m3 (L/s),> 20 và ≤ 50 000 m3 (L/s),> 50 và ≤ 200 000 m3 (L/s),> 200 và ≤ 400 000 m3 (L/s),> 400 và ≤ 600 000 m3 (L/s),> 600 000 m3 (L/s)
I và II,"S0, S1","D, E",10,10,10,10,15,20,25,35
I và II,"S0, S1","A, B, C",10,10,15,20,30,35,40,50
III,"S0, S1","D, E",10,10,15,25,35,40,45,-
III,S0,"A,B,C",10,15,20,30,45,60,75,-
IV,"S0, S1","D, E",10,15,20,30,40,50,60,-
IV,"S0, S1","A, B, C",15,20,25,40,60,80,100,-
IV,"S2, S3",E,10,15,20,30,45,-,-,-
IV,"S2, S3","A, B, C",15,20,25,40,65,-,-,-
V,-,E,10,15,20,30,55,-,-,-
V,-,C,15,20,25,40,70,-,-,-
