Nhà ở và công trình công cộng,Số tia phun chữa cháy trên 1 tầng nhà,"Lưu lượng tối thiểu cho chữa cháy trong nhà (L/s), đối với một tia phun"
"**1. Nhà chung cư, nhà ở tập thể**",,
"≤ 16 tầng, khi hành lang chung dài ≤ 10 m",1,"2,5"
"≤ 16 tầng, khi hành lang chung dài > 10 m",2,"2,5"
"> 16 và ≤ 25 tầng, khi hành lang chung dài ≤ 10 m",2,"2,5"
"> 16 và ≤ 25 tầng, khi hành lang chungdài > 10 m",3,"2,5"
**2. Nhà hành chính1)**,,
≤ 10 tầngvà khối tích ≤ 25 000 m3,1,"2,5"
≤ 10 tầngvà khối tích > 25 000 m3,2,"2,5"
> 10 tầngvà khối tích ≤ 25 000 m3,2,"2,5"
> 10 tầngvà khối tích > 25 000 m3,3,"2,5"
"**3. Phòng câu lạc bộ có sân khấu, nhà hát, rạp chiếu phim, phòng có trang bị thiết bị nghe nhìn (sinh hoạt, hội thảo và tương tự)**",,
≤ 300 chỗ,2,"2,5"
> 300 chỗ,2,"5,0"
"**4. Ký túc xá và nhà công cộng (ngoại trừ mục 2, 3) 2)**",,
≤ 10 tầngvà khối tích ≤ 25 000 m3,1,"2,5"
≤ 10 tầngvà khối tích > 25 000 m3,2,"2,5"
>10 tầngvà khối tích ≤ 25 000 m3,2,"2,5"
>10 tầngvà khối tích > 25 000 m3,3,"2,5"
**5. Nhà hành chính -phụ trợ của công trình công nghiệp có khối tích**,,
≤ 25 000 m3,1,"2,5"
> 25 000 m3,2,"2,5"
