Tên phòng,Nhóm phòng,Mặt phẳng quy định độ rọi và độ cao cách mặt sàn<br>m,Độ rọi nhỏ nhất cho phép<br>lx
1 Sảnh vào và phòng gửi áo khoác ngoài:,3,,
"a) Các trường đại học, trường phổ thông, ký túc xá, khách sạn nhà hát, câu lạc bộ",,Sàn,100
b) Các công trình công cộng khác,,Sàn,100
2 Cầu thang,3,,
a) Các cầu thang chính,,Sàn,150
b) Các cầu thang khác,,Chiếu nghỉ và các bậc thang,100
3 Sảnh đợi thang máy,3,Sàn,50
4 Phòng thường trực,3,"Ngang - 0,8",75
"5 Hành lang lối đi, cầu nối:",2,,
a) Các hành lang và lối đi chính,,Sàn,100
b) Các hành lang và lối đi khác,,Sàn,100
6. Tầng giáp mái:,,,50
7 Phòng vệ sinh trong các nhà công cộng:,3,,
"a) Buồng rửa mặt, xí, buồng vệ sinh phụ nữ",,Sàn,150
"b) Buồng tắm hoa sen, buồng gửi quần áo",,Sàn,150
