Vật liệu,Cấu hình,Tiết diện nhỏ nhất cho phép<br>$mm^{2}$
"Đồng, đồng mạ Thiếc",Băng,50
"Đồng, đồng mạ Thiếc",Tròn đặc <sup>(a)</sup>,50
"Đồng, đồng mạ Thiếc",Băng bện <sup>(a)</sup>,50
"Đồng, đồng mạ Thiếc",Tròn đặc <sup>(b)</sup>,176
Nhôm,Băng,70
Nhôm,Tròn đặc,50
Nhôm,Băng bện,50
Hợp kim nhôm,Băng,50
Hợp kim nhôm,Tròn đặc,50
Hợp kim nhôm,Băng bện,50
Hợp kim nhôm,Tròn đặc <sup>(b)</sup>,176
Hợp kim nhôm bọc đồng,Tròn đặc,50
Thép nhúng nóng,Băng,50
Thép nhúng nóng,Tròn đặc,50
Thép nhúng nóng,Băng bện,50
Thép nhúng nóng,Tròn đặc <sup>(b)</sup>,176
Thép bọc đồng,Tròn đặc,50
Thép bọc đồng,Băng,50
Thép không rỉ,Băng <sup>(c)</sup>,50
Thép không rỉ,Tròn đặc <sup>(c)</sup>,50
Thép không rỉ,Băng bện,70
Thép không rỉ,Tròn đặc <sup>(b)</sup>,176
