Vật liệu,Cấu hình,Kích thước nhỏ nhất cho phép — Đường kính điện cựcmm,Kích thước nhỏ nhất cho phép — Tiết diện dây nối đất$mm^{2}$,Kích thước nhỏ nhất cho phép — Tấm nối đấtmm
"Đồng, đồng mạ thiếc",Băng bện,,50,
"Đồng, đồng mạ thiếc",Tròn đặc,15,50,
"Đồng, đồng mạ thiếc",Băng đặc,,50,
"Đồng, đồng mạ thiếc",Ống,20,,
"Đồng, đồng mạ thiếc",Tấm đặc,,,500x500
"Đồng, đồng mạ thiếc",Tấm lưới <sup>(a)</sup>,,,600x600
Thép nhúng nóng,Tròn đặc,14,78,
Thép nhúng nóng,Ống,25,,
Thép nhúng nóng,Băng đặc,,90,
Thép nhúng nóng,Tấm đặc,,,500x500
Thép nhúng nóng,Tấm lưới <sup>(a)</sup>,,,600x600
Thép nhúng nóng,Dạng mặt cắt khác <sup>(b)</sup>,,,
Thép trần <sup>(c)</sup>,Băng bện,,70,
Thép trần <sup>(c)</sup>,Tròn đặc,,78,
Thép trần <sup>(c)</sup>,Băng đặc,,75,
Thép bọc đồng,Tròn đặc,14,50,
Thép bọc đồng,Băng đặc,,90,
Thép không rỉ,Tròn đặc,15,78,
Thép không rỉ,Băng đặc,,100,
