TT,Đặc trưng của các hệ thống báo cháy,Loại của hệ thống báo cháy — 1,Loại của hệ thống báo cháy — 2,Loại của hệ thống báo cháy — 3,Loại của hệ thống báo cháy — 4,Loại của hệ thống báo cháy — 5
1,Các biện pháp báo cháy:,,,,,
1,"Tín hiệu âm thanh (chuông, còi hú....)",&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+,*,*,*
1,Giọng nói (băng ghi âm và truyền thanh),-,-,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+
1,Đèn hiệu,,,,,
1,nhấp nháy,*,*,-,-,-
1,đèn hiệu “lối ra”,*,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+
1,Đèn hiệu dẫn hướng chuyển động,-,*,*,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+
1,Đèn hiệu dẫn hướng chuyển động cho từng vùng,-,*,*,*,&nbsp;&nbsp;&nbsp;&nbsp;\+
2,Liên lạc vùng báo cháy với bộ phận điều độ,-,-,*,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+
3,Trình tự báo cháy:,,,,,
3,Tất cả đồng thời,*,&nbsp;&nbsp;&nbsp;&nbsp;\+,-,-,-
3,Chỉ trong một gian phòng (trong một phần của nhà),*,*,*,-,-
3,"trước tiên của nhân viên phục vụ, sau đó của tất cả theo trình tự được thiết lập riêng",-,*,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+,&nbsp;&nbsp;&nbsp;&nbsp;\+
4,Tự động hóa hoàn toàn việc điều khiển hệ thống báo cháy và khả năng thực hiện tập hợp các phương án tổ chức thoát hiểm từ từng vùng báo cháy,-,-,-,-,&nbsp;&nbsp;&nbsp;&nbsp;\+
