Chiều sâu mũi cọc m,"Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — chứa sỏi cuội — Đất dính ứng với chỉ số sệt IL — 0,0","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — hạt to — Đất dính ứng với chỉ số sệt IL — 0,1","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt IL — 0,2","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt IL — 0,3","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — hạt vừa — Đất dính ứng với chỉ số sệt IL — 0,3","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — hạt nhỏ — Đất dính ứng với chỉ số sệt IL — 0,4","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — cát bụi — Đất dính ứng với chỉ số sệt IL — 0,5","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — cát bụi — Đất dính ứng với chỉ số sệt IL — 0,6","Cường độ sức kháng của đất dưới mũi cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $q_{b}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt IL — 0,6"
3,7 500,,3 000,,,,1 100,600,600
4,8 300,,3 800,,,,1 250,700,700
5,8 800,,4 000,,,,1 300,800,800
7,9 700,,4 300,,,,1 400,850,850
10,10 500,,5 000,,,,1 500,900,900
15,11 700,,5 600,,,2 900,1 650,1 000,1 000
20,12 600,8 500,6 200,,,3 200,1 800,1 100,1 100
25,13 400,9 000,6 800,5 200,5 200,3 500,1 950,1 200,1 200
30,14 200,9 500,7 400,5 600,5 600,3 800,2 100,1 300,1 300
≥ 35,15 000,10 000,8 000,6 000,6 000,4 100,2 250,1 400,1 400
