Chiều sâu trung bình của lớp đất m,"Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — hạt to và vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — ≤ 0,2","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — hạt nhỏ — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,3","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — cát bụi — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,4","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — cát bụi — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,5","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,5","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,6","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,7","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,8","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,8","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 0,9","Cường độ sức kháng trên thân cọc đặc và cọc ống có lõi đất hạ bằng phương pháp đóng hoặc ép $f_{i}$ kPa — Cát chặt vừa — Đất dính ứng với chỉ số sệt $I_{L}$ — 1,0"
1,35,23,15,12,12,8,4,4,4,3,2
2,42,30,21,17,17,12,7,5,5,4,4
3,48,35,25,20,20,14,8,7,7,6,5
4,53,38,27,22,22,16,9,8,8,7,5
5,56,40,29,24,24,17,10,8,8,7,6
6,58,42,31,25,25,18,10,8,8,7,6
8,62,44,33,26,26,19,10,8,8,7,6
10,65,46,34,27,27,19,10,8,8,7,6
15,72,51,38,28,28,20,11,8,8,7,6
20,79,56,41,30,30,20,12,8,8,7,6
25,86,61,44,32,32,20,12,8,8,7,6
30,93,66,47,34,34,21,12,9,9,8,6
≥ 35,100,70,50,36,36,22,13,9,9,8,
