Cọc và phương pháp thi công cọc,Hệ số điều kiện làm việc $_{cf}$ trong đất — cát,Hệ số điều kiện làm việc $_{cf}$ trong đất — cát pha,Hệ số điều kiện làm việc $_{cf}$ trong đất — sét pha,Hệ số điều kiện làm việc $_{cf}$ trong đất — sét
"1. Cọc đóng hoặc ép nhồi theo điểm 6.4a, hạ ống vách có tấm đế, hoặc nút bê tông","0,8","0,8","0,8","0,7"
2. Cọc nhồi dạng ép chấn động,"0,9","0,9","0,9","0,9"
"3. Cọc khoan nhồi trong đó có mở rộng mũi, đổ bê tông trong trường hợp:",,,,
"a) Không có nước (phương pháp khô), cũng như khi dùng ống vách chuyên dụng","0,7","0,7","0,7","0,7"
b) Dưới nước hay trong vữa sét,"0,6","0,6","0,6","0,6"
c) Dùng vữa bê tông cứng (độ sụt nhỏ) kết hợp dùng đầm sâu (phương pháp khô),"0,8","0,8","0,8","0,7"
4. Cọc barrette theo 6.5 c,"0,5","0,5","0,5","0,5"
"5. Cọc ống hạ bằng phương pháp rung, kết hợp đào moi đất","1,0","0,9","0,7","0,6"
6. Cọc - trụ,"0,7","0,7","0,7","0,6"
7. Cọc khoan phun nhồi dùng ống vách hoặc dùng vữa bê tông chịu áp lực ép từ 200 kPa đến 400 kPa (từ 2 atm đến 4 atm) hoặc phun vữa bê tông qua cần khoan guồng xoắn rỗng lòng,"0,9","0,8","0,8","0,8"
