"Chiều sâu hạ cọc h, m","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,0","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,1","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,2","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,3","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,4","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,5","Cường độ sức kháng $q_{b}$ của đất dính, trừ đất lún sụt, dưới mũi cọc đóng hoặc ép nhồi và cọc khoan nhồi có hoặc không mở rộng mũi, cọc ống hạ bằng phương pháp moi đất và đổ bê tông lõi theo chỉ số sệt $I_{l}$ kPa — 0,6"
3,850,750,650,500,400,300,250
5,1 000,850,750,650,500,400,350
7,1 150,1 000,850,750,600,500,450
10,1 350,1 200,1 050,950,800,700,600
12,1 550,1 400,1 250,1 100,950,800,700
15,1 800,1 650,1 500,1 300,1 100,1 000,800
18,2 100,1 900,1 700,1 500,1 300,1 150,950
20,2 300,2 100,1 900,1 650,1 450,1 250,1 050
30,3 300,3 000,2 600,2 300,2 000,-,-
≥ 40,4 500,4 000,3 500,3 000,2 500,-,-
