Chiều sâu hạ cọc m,"Hệ số ứng với trị số $m^{-1}$ — 0,2","Hệ số ứng với trị số $m^{-1}$ — 0,3","Hệ số ứng với trị số $m^{-1}$ — 0,4","Hệ số ứng với trị số $m^{-1}$ — 0,5","Hệ số ứng với trị số $m^{-1}$ — 0,6",Hệ số $m^{2}$/kN
3,"0,72","0,62","0,53","0,46","0,40",-
4,"0,64","0,53","0,44","0,31","0,31","1,5"
5,"0,59","0,46","0,36","0,29","0,24","1,1"
6,"0,53","0,40","0,31","0,24","0,19","0,7"
7,"0,48","0,35","0,26","0,20","0,15","0,5"
8,"0,44","0,31","0,22","0,17","0,13","0,4"
9,"0,40","0,27","0,19","0,14","0,11","0,3"
10,"0,37","0,24","0,17","0,12","0,09","0,2"
11,"0,34","0,21","0,15","0,10","0,08","0,2"
12,"0,31","0,19","0,13","0,09","0,07","0,15"
