Loại khảo sát,Mức độ phức tạp của điều kiện nền đất — Loại 1,Mức độ phức tạp của điều kiện nền đất — Loại 2,Mức độ phức tạp của điều kiện nền đất — Loại 3
**Nhà và công trình thuộc tầm quan trọng cấp III**,,,
Khoan lấy mẫu và thí nghiệm xuyên tiêu chuẩn,"Khoảng cách giữa các hố khoan không lớn hơn 70 m, nhưng không ít hơn 1 hố cho mỗi công trình","Khoảng cách giữa các hố khoan không lớn hơn 50 m, nhưng không ít hơn 2 hố cho mỗi công trình","Khoảng cách giữa các hố khoan không lớn hơn 30 m, nhưng không ít hơn 3 hố cho mỗi công trình"
Thí nghiệm trong phòng,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình
Thí nghiệm xuyên tĩnh,"Khoảng cách giữa các điểm xuyên không lớn hơn 35 m, nhưng không ít hơn 2 điểm cho mỗi công trình","Khoảng cách giữa các điểm xuyên không lớn hơn 25 m, nhưng không ít hơn 3 điểm cho mỗi công trình","Khoảng cách giữa các điểm xuyên không lớn hơn 15 m, nhưng không ít hơn 6 điểm cho mỗi công trình"
**Nhà và công trình thuộc tầm quan trọng cấp II**,,,
Khoan lấy mẫu và thí nghiệm xuyên tiêu chuẩn,"Khoảng cách giữa các hố khoan không lớn hơn 50 m, nhưng không ít hơn 2 hố cho mỗi công trình","Khoảng cách giữa các hố khoan không lớn hơn 40 m, nhưng không ít hơn 3 hố cho mỗi công trình","Khoảng cách giữa các hố khoan không lớn hơn 30 m, nhưng không ít hơn 4 hố cho mỗi công trình"
Thí nghiệm trong phòng,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình
Thí nghiệm xuyên tĩnh,"Khoảng cách giữa các điểm xuyên không lớn hơn 25 m, nhưng không ít hơn 6 điểm cho mỗi công trình","Khoảng cách giữa các điểm xuyên không lớn hơn 20 m, nhưng không ít hơn 7 điểm cho mỗi công trình","Khoảng cách giữa các điểm xuyên không lớn hơn 15 m, nhưng không ít hơn 10 điểm cho mỗi công trình"
Nén ngang,-,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình,Không ít hơn 6 thí nghiệm cho mỗi chỉ tiêu trong phạm vi một yếu tố địa chất công trình
