Loại mái,Vùng,,,,
Loại mái,F,G,H,I,
Có cạnh sắc,"&nbsp;&nbsp;\- 1,8","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,7","± 0,2",
Có tường chắn mái,"$h_{p}$/h = 0,025","&nbsp;&nbsp;\- 1,6","&nbsp;&nbsp;\- 1,1","&nbsp;&nbsp;\- 0,7","± 0,2"
Có tường chắn mái,"$h_{p}$/h = 0,05","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,9","&nbsp;&nbsp;\- 0,7","± 0,2"
Có tường chắn mái,"$h_{p}$/h = 0,10","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,7","± 0,2"
Có cạnh bo tròn,"r/h = 0,05","&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,4","± 0,2"
Có cạnh bo tròn,"r/h = 0,10","&nbsp;&nbsp;\- 0,7","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,3","± 0,2"
Có cạnh bo tròn,"r/h = 0,20","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,3","± 0,2",
Có cạnh vát góc,α = 30°,"&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 0,3","± 0,2",
Có cạnh vát góc,α = 45°,"&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,4","± 0,2"
Có cạnh vát góc,α = 60°,"&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,5","± 0,2",
