"Gốc dốc $\alpha$, °",Vùng,,,,
"Gốc dốc $\alpha$, °",F,G,H,I,J
&nbsp;&nbsp;\- 45,"-0,6","-0,8","-0,7","-1,0",
&nbsp;&nbsp;\- 30,"-1,1","-2,0","-0,8","-0,6","-0,8"
&nbsp;&nbsp;\- 15,"-2,5","-1,3","-0,9","-0,5","-0,7"
&nbsp;&nbsp;\- 5,"&nbsp;&nbsp;\- 2,3","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,2",
&nbsp;&nbsp;\- 5,"&nbsp;&nbsp;\- 2,3","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,6",
5,&nbsp;&nbsp;\- 1.7,"&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,2",
5,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,0","&nbsp;&nbsp;\- 0,6",,,
15,"&nbsp;&nbsp;\- 0,9","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 1,0"
15,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,2","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 1,0",,
30,"&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,2","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,5",
30,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,4","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,5",
45,"&nbsp;&nbsp;\- 0,0","&nbsp;&nbsp;\- 0,2","&nbsp;&nbsp;\- 0,3",,
45,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,6","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,0",,
60,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;\- 0,2","&nbsp;&nbsp;\- 0,3",,
75,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,8","&nbsp;&nbsp;\- 0,2","&nbsp;&nbsp;\- 0,3",,
