"Góc dốc $\alpha$, °",Vùng,,,
"Góc dốc $\alpha$, °",F,G,H,I
&nbsp;&nbsp;\- 45,"&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 0,9"
&nbsp;&nbsp;\- 30,"&nbsp;&nbsp;\- 1,5","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 0,9"
&nbsp;&nbsp;\- 15,"&nbsp;&nbsp;\- 1,9","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8",
&nbsp;&nbsp;\- 5,"&nbsp;&nbsp;\- 1,8","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,7","&nbsp;&nbsp;\- 0,6"
&nbsp;&nbsp;&nbsp;&nbsp;\+ 5,"&nbsp;&nbsp;\- 1,6","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,7","&nbsp;&nbsp;\- 0,6"
15,"&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,5",
30,"&nbsp;&nbsp;\- 1,1","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,5"
45,"&nbsp;&nbsp;\- 1,1","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,9","&nbsp;&nbsp;\- 0,5"
60,"&nbsp;&nbsp;\- 1,1","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,5"
75,"&nbsp;&nbsp;\- 1,1","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,5"
