Cấu kiện kết cấu,Yêu cầu,Giá trị $f_u$,Tải trọng để xác định độ võng đứng f
1. Dầm đỡ cần trục kiểu cầu (cầu trục) và cần trục treo được điều khiển:,,,
"a) từ dưới nền, kể cả pa lăng",Công nghệ,L/250,Tải trọng do một cần trục
b) từ cabin ứng với chế độ làm việc (theo TCVN 8590-1:2010 (ISO 4301-1:1986)):,Công nghệ,,
nhóm A1 đến A6,,L/400,Tải trọng do một cần trục
nhóm A7,,L/500,Tải trọng do một cần trục
nhóm A8,,L/600,Tải trọng do một cần trục
"2. Dầm, giàn, xà, bản, xà gồ, bản, tấm (bao gồm cả sườn của bản và tấm) của:",,,
a) Mái và sàn tầng có tường ngăn ngay dưới chúng,Cấu tạo,Lấy theo G.2.5.1.2,Tải trọng làm giảm khe hở giữa cấu kiện chịu lực của kết cấu và tường ngăn nằm ngay dưới chúng
"b) Mái và sàn tầng khi sử dụng pa lăng, cần trục treo được điều khiển từ dưới nền",Công nghệ,L/300 hoặc a/150<br>(lấy giá trị nhỏ hơn),Tải trọng tạm thời ngắn hạn có kể đến tải trọng do một cần trục hoặc pa lăng trên một đường ray
c) Sàn tầng mà chịu tác dụng của:,Công nghệ,,
"&nbsp;&nbsp;\- các tải trọng di chuyển, vật liệu, chi tiết máy móc và các tải trọng di động khác (trong đó có tải trọng di chuyển trên nền không ray)",Công nghệ,L/350,"Giá trị bất lợi hơn trong hai giá trị:<br>&nbsp;&nbsp;\- 0,7 lần giá trị tiêu chuẩn của tải trọng tạm thời ngắn hạn lên sàn tầng;<br>&nbsp;&nbsp;\- tải trọng do một xe xếp tải"
&nbsp;&nbsp;\- tải trọng di chuyển trên ray:,Công nghệ,L/350,"Giá trị bất lợi hơn trong hai giá trị:<br>&nbsp;&nbsp;\- 0,7 lần giá trị tiêu chuẩn của tải trọng tạm thời ngắn hạn lên sàn tầng;<br>&nbsp;&nbsp;\- tải trọng do một xe xếp tải"
&nbsp;&nbsp;&nbsp;&nbsp;\+ khổ hẹp,Công nghệ,L/400,Tải trọng do một toa (hoặc xe) chạy trên một đường ray
&nbsp;&nbsp;&nbsp;&nbsp;\+ khổ rộng,Công nghệ,L/500,Tải trọng do một toa (hoặc xe) chạy trên một đường ray
"d) Mái và sàn tầng của bãi đỗ xe trong nhà, có nhịp L, m:<br>L = 6<br>L = 12<br>L ≥ 24",Công nghệ,L/200<br>L/250<br>L/300,Tải trọng thường xuyên và tạm thời dài hạn (trong đó có tải trọng tạm thời ngắn hạn nêu tại Bảng 4 với hệ số giảm $\eta$ nêu tại 8.3.3 và tải trọng tạm thời ngắn hạn nêu tại Bảng 5 với hệ số giảm $\eta$ nêu tại 8.5.4)
"3. Lanh tô, tấm tường treo phía trên lỗ cửa sổ và cửa đi (xà và xà gồ vách kính)",Cấu tạo,L/200,"Tải trọng làm giảm khe hở giữa cấu kiện chịu lực và phần chèn các cửa sổ, cửa đi dưới cấu kiện chịu lực đó."
Các ký hiệu trong Bảng G.4:<br>L là nhịp tính toán của cấu kiện kết cấu.<br>a là bước dầm hoặc giàn mà đường đi của cần trục treo liên kết vào.,,,
