"Góc dốc α, °",Góc hướng gió θ = 0°,Góc hướng gió θ = 180°,,,,
"Góc dốc α, °",Vùng,,,,,
"Góc dốc α, °",F,G,H,F,G,H
5,"&nbsp;&nbsp;\- 1,7","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 2,3","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,8"
5,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,0","&nbsp;&nbsp;\- 2,3","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,8",,
15,"&nbsp;&nbsp;\- 0,9","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 2,5","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,9"
15,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,2","&nbsp;&nbsp;\- 2,5","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,9",,
30,"&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,2","-1,1","-0,8",,
30,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,4","-1,1","-0,8",,
45,"&nbsp;&nbsp;\- 0,0","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,7",,
45,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,6","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,7",
60,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;\- 0,5",,,,
75,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,8","&nbsp;&nbsp;\- 0,5",,,,
