"Góc dốc<br>$\alpha_{0}$, °, cho θ = 0°,<br>$\alpha_{90}$, °, cho θ = 90°",Các vùng khi góc hướng gió θ = 0° và θ = 90°,,,,,,,,
"Góc dốc<br>$\alpha_{0}$, °, cho θ = 0°,<br>$\alpha_{90}$, °, cho θ = 90°",F,G,H,I,J,K,L,M,N
5,"&nbsp;&nbsp;\- 1,7","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,4",
5,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,0","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,4",,,
15,"&nbsp;&nbsp;\- 0,9","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3"
15,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,2","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 1,0","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3",,
30,"&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 0,2","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,7","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,2",
30,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,5","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,4","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,7","&nbsp;&nbsp;\- 0,5","&nbsp;&nbsp;\- 1,4","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,2"
45,"&nbsp;&nbsp;\- 0,0","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,2",,
45,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 1,3","&nbsp;&nbsp;\- 0,8","&nbsp;&nbsp;\- 0,2",
60,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,7","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,2",,
75,"&nbsp;&nbsp;&nbsp;&nbsp;\+ 0,8","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 0,6","&nbsp;&nbsp;\- 0,3","&nbsp;&nbsp;\- 1,2","&nbsp;&nbsp;\- 0,4","&nbsp;&nbsp;\- 0,2",,
