Chất chữa cháy,Hiệu quả chữa cháy các loại đám cháy,,,,,,,
Chất chữa cháy,A,B,C,D,,,,
Chất chữa cháy,A1,A2,B1,B2,C,D1,D2,D3
Nước,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,,
"Bọt, chất chữa cháy gốc nước",Chất chữa cháy gốc nước,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,
"Bọt, chất chữa cháy gốc nước",Bọt có bội số nở cao,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,
"Bọt, chất chữa cháy gốc nước",Bọt có bội số nở thấp và trung bình,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,
Khí,$CO_{2}$,-,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,
Khí,"Nitơ, HFC-227ea, Inergen, Argon, FK 5-1-12...",&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,
Bột,Bột BC,-,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,
Bột,Bột ABC,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,
Bột,Bột ABCD,&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,
Aerosol (Sol khí),&nbsp;&nbsp;&nbsp;&nbsp;\+ ,-,,,,,,
