STT,Hạng mục/khu vực,Hệ thống chữa cháy tự động,Hệ thống báo cháy tự động
1.,"Hạng mục cáp $^{1)}$ của nhà máy điện (không bao gồm phần cáp đặt ở ngoài nhà, công trình)",Không phụ thuộc vào quy mô,
2.,"Hạng mục cáp $^{1)}$ của trạm biến áp (không bao gồm phần cáp đặt ở ngoài nhà, công trình)",,
2.1.,Có điện áp từ 500 kV trở lên,Không phụ thuộc vào quy mô,
2.2.,Có điện áp dưới 500 kV.,-,Không phụ thuộc vào quy mô
3.,"Hạng mục cáp $^{1)}$ của trạm biến áp có điện áp 110-220kV (không bao gồm phần cáp đặt ở ngoài nhà, công trình) với máy biến áp có công suất:",,
3.1.,Từ 63 MVA trở lên,Không phụ thuộc vào quy mô,
3.2.,Dưới 63 MVA,-,Không phụ thuộc vào quy mô
4.,Hầm cáp trong nhà sản xuất và nhà dân dụng trong đó đặt cáp hoặc dây dẫn có điện áp từ 220V trở lên:,,
4.1.,Khối tích hầm trên 100 $m^{3}$,Từ 12 sợi trở lên,Từ 5 sợi trở lên
4.2.,Khối tích hầm từ 10 $m^{3}$ đến 100 $m^{3}$,-,Từ 5 sợi trở lên
5.,Băng tải kín vận chuyển nguyên vật liệu dễ cháy,Chiều dài từ 25 m trở lên,
6.,"Khoảng không gian phía trên trần giả hoặc dưới sàn nâng của các khu vực $^{2)}$ trong các gian phòng, nhà thuộc diện trang bị hệ thống chữa cháy tự động và/hoặc hệ thống báo cháy tự động) $^{3)}$ có:",,
6.1.,"Đường ống kỹ thuật được bọc bằng vật liệu có tính cháy Ch2-Ch4, không phụ thuộc khối lượng",Không phụ thuộc vào diện tích và thể tích,
6.2.,"Máng cáp (bó cáp) có điện áp từ 220V trở lên và tổng thể tích chất cháy thuộc nhóm Ch2 đến Ch4 từ 0,007 $m^{3}$/mét chiều dài trở lên",Không phụ thuộc vào diện tích và thể tích,
6.3.,"Máng cáp (bó cáp) có điện áp từ 220V trở lên và tổng thể tích chất cháy thuộc nhóm Ch2 đến Ch4 từ 0,0015 $m^{3}$ đến dưới 0,007 $m^{3}$/mét chiều dài",-,Không phụ thuộc vào diện tích và thể tích
