STT,Đối tượng bảo vệ,Hệ thống chữa cháy tự động,Hệ thống báo cháy tự động
1.,Gian phòng kho,,
1.1.,Thuộc hạng nguy hiểm cháy nổ A và B,Diện tích từ 300 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
1.2.,"Lưu trữ cao su, hạt nhựa; diêm, kim loại kiềm, sản phẩm pháo hoa; len, lông thú; chất cháy khác với khối lượng riêng nhỏ (dưới 3 kg/$m^{3}$)",Không phụ thuộc vào diện tích,
1.3.,Chứa hàng hóa không cháy nhưng bảo quản trong bao bì cháy được (có tải trọng cháy riêng từ 1 MJ/$m^{2}$ đến 180 MJ/$m^{2}$),-,Diện tích từ 300 $m^{2}$ trở lên
1.4.,Thuộc hạng nguy hiểm cháy C (không bao gồm các gian phòng nêu tại mục 1.2 và mục 1.3 bảng này) khi được đặt trong các tầng,,
1.4.1.,"Trong tầng hầm, tầng bán hầm",Không phụ thuộc vào diện tích,
1.4.2.,Tầng trên mặt đất,Diện tích từ 300 $m^{2}$ trở lên,
1.5.,Kho lạnh,-,Diện tích từ 300 $m^{2}$ trở lên
2.,Gian phòng sản xuất,,
2.1.,Thuộc hạng nguy hiểm cháy nổ A và B,Diện tích từ 300 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
2.2.,Thuộc hạng nguy hiểm cháy C (trừ các phòng nằm trong các nhà và cơ sở chế biến và lưu trữ nông sản dạng hạt) khi được đặt tại các tầng:,,
2.2.1.,"Tầng hầm, tầng bán hầm",Không phụ thuộc vào diện tích,
2.2.2.,Tầng trên mặt đất,Diện tích từ 1 000 $m^{2}$ trở lên,Diện tích từ 300 $m^{2}$ trở lên
2.3.,"Phòng sản xuất sản phẩm chất lỏng dễ cháy: dung môi, sơn, keo dán, ma tít, dung dịch ngâm tẩm, cao su tổng hợp; phòng sản xuất huyền phù từ bột nhôm, keo cao su; phòng sơn, tổng hợp cao su nhân tạo, phòng máy nén có sử dụng tuabin khí, phòng gia nhiệt dầu mỏ và dầu diezel",Không phụ thuộc vào diện tích,
3.,Gian phòng thông tin liên lạc,,
