Tên phòng,Đơn vị tính,Diện tích $m^{2}$
1- Hội trường (không kể sân khấu),cho 1 chỗ ngồi,"0,08"
"2 - Hội nghị kết hợp với lối vào, hành lang, chỗ giải khát...",,"0,20"
3 - Các phòng câu lạc bộ,chỗ 100 học sinh,"9,00"
4 - Các phòng chủ tịch đoàn,phòng,"36,00"
5 - Phòng hóa trang,phòng,"10,00"
6 - Kho đặt cạnh sân khấu,tổng cộng,25% diện tích sân khấu
7 - Khu vệ sinh đặt cạnh sân khấu,tổng cộng,2 - 4 chỗ
8 - Nhà tắm đặt cạnh sân khấu,tổng cộng,2 – 4 ngàn
9 - Phòng chiếu phim,tổng cộng,"36,00"
10- Trạm cứu hoả,phòng,"10,00"
