"Tẻn khoa, phòng",Diện tích
**A. Khối tiếp đón**,
"1. Phát số, không nhỏ hơn",48 $m^{2}$
"2. Thủ tục - thanh toán, Không nhỏ hơn",36 $m^{2}$
3. Khu vệ sinh (nam/nữ riêng biệt),24 $m^{2}$ x 02 khu
"4. Chỗ đợi, chờ khám",Xem 6.2.6
**B. Khối Khám - điều trị ngoại trú**,
1. Khám nội,
&nbsp;&nbsp;\- Phòng khám,từ 9 $m^{2}$/chỗ đến 12 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng sơ cứu (từ 01 giường đến 02 giường),từ 15 $m^{2}$/phòng đến 18 $m^{2}$ /phòng
2. Thần kinh,từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
3. Da liễu,
&nbsp;&nbsp;\- Phòng khám,từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng điều trị,từ 9 $m^{2}$/ chỗ đến 12 $m^{2}$/chỗ
4. Đông y,
&nbsp;&nbsp;\- Phòng khám,12 $m^{2}$/ chỗ
&nbsp;&nbsp;\- Phòng châm cứu,12 $m^{2}$/ chỗ
5. Khám ngoại,
&nbsp;&nbsp;\- Phòng khám,từ 9 $m^{2}$/chỗ đến 12 $m^{2}$/chỗ
&nbsp;&nbsp;\- Thủ thuật ngoại,từ 24 $m^{2}$/chỗ đến 30 $m^{2}$/chỗ
&nbsp;&nbsp;\- Chuẩn bị dụng cụ,từ 9 $m^{2}$/chỗ đến 12 $m^{2}$/chỗ
6. Khám nhi,
&nbsp;&nbsp;\- Phòng khám nhi thường,từ 9 $m^{2}$/chỗ đến 12 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng khám bệnh nhi truyền nhiễm,Dùng chung phòng khám của khoa Truyền nhiễm
7. Bệnh truyền nhiễm,từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
"8. Phụ, Sản",
&nbsp;&nbsp;\- Phòng khám sản khoa,từ 15 $m^{2}$/chỗ đến 18 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng khám phụ khoa,từ 15 $m^{2}$/chỗ đến 18 $m^{2}$/chỗ
9. Răng - Hàm - Mặt,
&nbsp;&nbsp;\- Phòng khám (01 ghế),từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng tiểu phẫu,từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng chỉnh hình,từ 9 $m^{2}$/chỗ đến 12 $m^{2}$/chỗ
&nbsp;&nbsp;\- Xưởng răng giả,từ 24 $m^{2}$/chỗ đến 30 $m^{2}$/chỗ
&nbsp;&nbsp;\- Rửa hấp sấy dụng cụ,từ 4 $m^{2}$/chỗ đến 6 $m^{2}$/chỗ
10. Tai - Mũi - Họng,
&nbsp;&nbsp;\- Phòng khám,từ 12 $m^{2}$/chỗ đến 15 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng điều trị,từ 15 $m^{2}$/chỗ đến 18 $m^{2}$/chỗ
11. Mắt,
&nbsp;&nbsp;\- Phòng khám (phần sáng),từ 15 $m^{2}$/chỗ đến 18 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng khám (phần tối),từ 12 $m^{2}$/chỗ đến 18 $m^{2}$/chỗ
&nbsp;&nbsp;\- Phòng điều trị,từ 18 $m^{2}$/chỗ đến 24 $m^{2}$/chỗ
**C. Bộ phận nghiệp vụ**,
"1. Phòng phát thuốc, kho thuốc",từ 15 $m^{2}$/phòng đến 18 $m^{2}$/phòng
2. Chỗ bán thuốc,từ 15 $m^{2}$/phòng đến 18 $m^{2}$/phòng
"3. Phòng chẩn đoán, xét nghiệm nhanh",
&nbsp;&nbsp;\- Chỗ đợi,Xem 6.2.6
&nbsp;&nbsp;\- Chỗ lấy bệnh phẩm,từ 12 $m^{2}$/khu đến $m^{2}$/khu
&nbsp;&nbsp;\- Phòng xét nghiệm,từ 24 $m^{2}$/phòng đến 36 $m^{2}$/phòng
