Tên khoa,Số giường<br>(giường),Tỷ lệ<br>(%)
1. Khoa Nội,,24
&nbsp;&nbsp;&nbsp;&nbsp;\+ Nội Tổng quát,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Nội tim mạch,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Nội tiêu hóa,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Nội cơ - xương - khớp,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ ...,,
2. Khoa Ngoại,,18
&nbsp;&nbsp;&nbsp;&nbsp;\+ Ngoại Tổng quát,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Ngoại thần kinh,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ Ngoại tiêu hóa,30,
&nbsp;&nbsp;&nbsp;&nbsp;\+ ...,,
3. Khoa Phụ Sản,60,12
4. Khoa Nhi,50,10
5. Khoa Mắt,15,3
6. Khoa Tai Mũi Họng,15,3
7. Khoa Răng Hàm Mặt,15,3
8. Khoa Truyền nhiễm,30,6
"9. Khoa Cấp cứu, Khoa HSTC – CĐ",từ 25 đến 40,từ 5 đến 8
10. Khoa Y học cổ truyền,từ 35 đến 20,từ 7 đến 4
11. Chuyên khoa khác,45,9
Tổng cộng,500,100
