Loại phòng,Diện tích<br>($m^{2}$/phòng),Ghi chú,
1. Thủ thuật vô khuẩn,từ 18 đến 24,,
2. Thủ thuật hữu khuẩn,từ 9 đến 12,,
"3. Rửa hấp, sấy, chuẩn bị dụng cụ",từ 9 đến 12,nên đặt ở giữa hai phòng thủ thuật vô khuẩn và hữu khuẩn,
4. Phòng cấp cứu,từ 15 đến 18,cho từ 01 giường đến 02 giường,
,từ 24 đến 32,cho từ 03 giường đến 04 giường,
5. Phòng Xét nghiệm thông thường,từ 15 đến 18,hoặc 5 $m^{2}$/nhân viên đến 6 $m^{2}$/nhân viên,
6. Phòng Xquang (nếu có),24,,
7. Phòng trưởng khoa,18,,
8. Phòng bác sĩ,từ 24 đến 36,có thể bố trí chung cho từ 02 đến 03 đơn nguyên cùng khoa,
9. Phòng bác sĩ điều trị<sup>(*)</sup>,từ 15 đến 18,"hoặc tính bằng 6 $m^{2}$/chỗ, nếu có lưu trữ hồ sơ bệnh án thì tính thêm 2 $m^{2}$ đến 3 $m^{2}$",
10. Phòng y tá hành chính<sup>(*)</sup>,từ 15 đến 18,"hoặc tính bằng 6 $m^{2}$/chỗ, nếu có lưu trữ hồ sơ bệnh án thì tính thêm 2 $m^{2}$ đến 3 $m^{2}$",
11. Chỗ trực và làm việc của y tá<sup>(*)</sup>,từ 18 đến 24,ở vị trí bao quát được các phòng bệnh,
12. Phòng y tá trưởng (điều dưỡng trưởng),từ 18 đến 21,,
13. Phòng trực bác sỹ nam,từ 15 đến 18,,
14. Phòng trực bác sỹ nữ,từ 15 đến 18,,
15. Phòng nhân viên,từ 18 đến 24,"cho 50 giường hoặc cho 02 đơn nguyên hoặc tính bằng 0,8 $m^{2}$/người đến 1,0 $m^{2}$/người nhưng không quá 36 $m^{2}$/phòng",
"16. Phòng giao ban, sinh hoạt của đơn nguyên, hướng dẫn sinh viên, thực tập sinh...",từ 24 đến 36,"cho 50 giường hoặc cho 02 đơn nguyên hoặc tính bằng 0,8 $m^{2}$/người đến 1,0 $m^{2}$/người nhưng không quá 36 $m^{2}$/phòng",
17. Phòng thay quần áo nam,18,"từ 0,2 $m^{2}$/chỗ đến 0,3 $m^{2}$/chỗ mắc áo hoặc từ 0,35 $m^{2}$/chỗ đến 0,45 $m^{2}$/chỗ treo áo cá nhân",
18. Phòng thay quần áo nữ,18,"từ 0,2 $m^{2}$/chỗ đến 0,3 $m^{2}$/chỗ mắc áo hoặc từ 0,35 $m^{2}$/chỗ đến 0,45 $m^{2}$/chỗ treo áo cá nhân",
19. Khu vệ sinh,từ 18 đến 24,Nam/nữ riêng biệt,
**GHI CHÚ:<sup>(*)</sup> Có thể bố trí chung**,,,
