Tên phòng,Số chỗ<br>(chỗ)
**1. Phòng điều trị bằng quang điện**,
&nbsp;&nbsp;\- Chỗ điều trị bằng tia hồng ngoại,3
&nbsp;&nbsp;\- Chỗ điều trị bằng tử ngoại,2
&nbsp;&nbsp;\- Chỗ điều trị bằng điện,từ 6 đến 7
&nbsp;&nbsp;\- Chỗ điều trị bằng các máy khác,Tùy theo yêu cầu
**2. Phòng điều trị nhiệt**,
"&nbsp;&nbsp;\- Bó paraphin, ngải cứu",3
&nbsp;&nbsp;\- Xông,2
**3. Phòng điều trị vận động và thể dục**,
&nbsp;&nbsp;\- Phòng thể dục,2
&nbsp;&nbsp;\- Xoa bóp,3
4. Phòng thủy trị liệu,
"&nbsp;&nbsp;\- Chỗ tắm, ngâm nước",5
&nbsp;&nbsp;\- Chỗ tắm bùn khoáng,10
