Loại phòng,Diện tích tối thiểu<br>($m^{2}$/phòng),Ghi chú
**1. Hành chính - tiếp nhận**,,
&nbsp;&nbsp;\- Bác sỹ trưởng khoa,"Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7","Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7"
&nbsp;&nbsp;\- Hành chính,"Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7","Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7"
&nbsp;&nbsp;\- Nhân viên và chỗ bảo quản đồ vải,"Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7","Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7"
"&nbsp;&nbsp;\- Khu vệ sinh, thay quần áo nhân viên","Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7","Diện tích tối thiểu được lấy tương tự như đối với Khu Điều trị nội trú, xem 6.3.1.7"
&nbsp;&nbsp;\- Chỗ đợi,"1,0 $m^{2}$/chỗ đến 1,2 $m^{2}$/chỗ, tính cho 60 % đến 80 % số chỗ điều trị","1,0 $m^{2}$/chỗ đến 1,2 $m^{2}$/chỗ, tính cho 60 % đến 80 % số chỗ điều trị"
**2. Phòng điều trị quang điện**,,
&nbsp;&nbsp;\- Chỗ làm việc của y tá,từ 9 đến 12,
&nbsp;&nbsp;\- Phòng điều trị,từ 15 đến 18,
**3. Phòng điều trị bằng nhiệt**,,
&nbsp;&nbsp;\- Chỗ làm việc của y tá,từ 9 đến 12,
&nbsp;&nbsp;\- Phòng bó paraphin,từ 15 đến 18,
&nbsp;&nbsp;\- Phòng xông,từ 9 đến 12,
4. Phòng điều trị bằng vận động và thể dục,4. Phòng điều trị bằng vận động và thể dục,
&nbsp;&nbsp;\- Phòng luyện tập,70,
&nbsp;&nbsp;\- Phòng xoa bóp,từ 15 đến 18,
&nbsp;&nbsp;\- Phòng thay quần áo và kho đồ dùng,từ 9 đến 12,
&nbsp;&nbsp;\- Sân tập thể dục,60,
**5. Bộ phận thủy trị liệu**,,
"&nbsp;&nbsp;\- Tắm, ngâm nước",48,
&nbsp;&nbsp;\- Tắm bùn,36,
**6. Chỗ điều trị**,,
"&nbsp;&nbsp;\- Chỗ điều trị nằm, $m^{2}$/chỗ",4,
"&nbsp;&nbsp;\- Chỗ điều trị ở tư thế ngồi, $m^{2}$/chỗ",2,
"&nbsp;&nbsp;\- Chỗ nghỉ sau điều trị hoặc tập thể dục, $m^{2}$/chỗ",2,Tính cho 30 % đến 50 % số chỗ điều trị
