"Tên khoa, phòng",Diện tích
**A. Phòng Xquang thông thường**,
1. Khu vực đặt máy,
&nbsp;&nbsp;\- Phòng chụp,20 $m^{2}$/máy
&nbsp;&nbsp;\- Phòng điều khiển,6 $m^{2}$/phòng
2. Khu vực chuẩn bị,
"&nbsp;&nbsp;\- Buồng tháo, thụt",9 $m^{2}$/phòng
&nbsp;&nbsp;\- Phòng nghỉ bệnh nhân,04 giường x 9 $m^{2}$/giường
**B. Máy CT - scanner**,
1. Khu vực đặt máy,
&nbsp;&nbsp;\- Phòng chụp,30 $m^{2}$/máy chụp
&nbsp;&nbsp;\- Phòng điều khiển,12 $m^{2}$/phòng
2. Khu vực chuẩn bị,
&nbsp;&nbsp;\- Phòng chuẩn bị,18 $m^{2}$/máy chụp
C. Siêu âm,
&nbsp;&nbsp;\- Phòng siêu âm,(từ 07 máy đến 09 máy) x 9 $m^{2}$/máy
&nbsp;&nbsp;\- Phòng chuẩn bị cho đơn vị siêu âm can thiệp,9 $m^{2}$/phòng
D. Cộng hưởng từ (MRI),
1. Khu vực đặt máy,
&nbsp;&nbsp;\- Phòng chụp,30 $m^{2}$/máy chụp
&nbsp;&nbsp;\- Phòng điều khiển,12 $m^{2}$/phòng
"2, Phòng đọc và xử lý hình ảnh",24 $m^{2}$/phòng
3. Phòng chuẩn bị,18 $m^{2}$/phòng
E. Phòng xử lý phim và phân loại,18 $m^{2}$/phòng
