Đơn vị chẩn đoán hình ảnh,Diện tích<br>($m^{2}$/phòng),Ghi chú
"1. Phòng đăng ký lấy số, trả kết quả",36,
"2. Khu vệ sinh bệnh nhân (nam, nữ)",24 $m^{2}$ x 02 Khu,
"3. Đợi chụp, $m^{2}$/chỗ/đơn vị chẩn đoán","1,2",
4. Phòng trưởng khoa,18,
"5. Phòng hành chính, giao ban",từ 48 đến 54,"0,8 $m^{2}$/chỗ đến 1,0 $m^{2}$/chỗ giảng dạy, hội họp"
6. Phờng trực nhân viên,18,
"7. Kho thiết bị, dụng cụ",24,
"8. Kho phim, hóa chất",24,
"9. Khu vệ sinh, thay quần áo nhân viên (nam/nữ riêng biệt)",24 $m^{2}$ x 02 khu,
