"Tên khoa, phòng",Diện tích<br>($m^{2}$)
**Khu vực sản xuất**,
1. Khâu gia công thô,
&nbsp;&nbsp;\- Sân sản xuất,từ 24 đến 36
&nbsp;&nbsp;\- Bể nước,từ 10 đến 12
2. Chỗ gia công kỹ,
&nbsp;&nbsp;\- Chỗ bếp nấu,từ 30 đến 45
&nbsp;&nbsp;\- Chỗ để bình ga,từ 18 đến 24
&nbsp;&nbsp;\- Chỗ đun nước,từ 15 đến 18
&nbsp;&nbsp;\- Chỗ pha sữa và phân phối sữa,từ 15 đến 18
3. Chỗ phân phối,
"&nbsp;&nbsp;\- Chỗ thái chín, giao thức ăn",từ 24 đến 45
"&nbsp;&nbsp;\- Chỗ nhận thức ăn, xếp xe đẩy thức ăn",từ 36 đến 45
"&nbsp;&nbsp;\- Kho lẻ, tủ lạnh",từ 24 đến 36
"&nbsp;&nbsp;\- Chỗ rửa bát đĩa, xe đẩy",từ 36 đến 45
**Khu vực kho và hành chính**,
1. Nhà kho,
&nbsp;&nbsp;\- Chỗ nhập xuất kho,từ 18 đến 24
&nbsp;&nbsp;\- Lương thực,từ 24 đến 45
&nbsp;&nbsp;\- Thực phẩm khô gia vị,từ 24 đến 36
&nbsp;&nbsp;\- Bát đĩa đồ dùng,từ 24 đến 36
&nbsp;&nbsp;\- Kho lạnh,từ 18 đến 21
2. Các phòng hành chính - sinh hoạt,
"&nbsp;&nbsp;\- Phòng quản lý, bác sỹ, y sỹ dinh dưỡng, thống kê kế toán",từ 24 đến 48
&nbsp;&nbsp;\- Phòng sinh hoạt,từ 24 đến 36
&nbsp;&nbsp;\- Phòng trực và nghỉ,từ 18 đến 24
&nbsp;&nbsp;\- Phòng thay quần áo nhân viên (nam/nữ riêng biệt),6 x 02 phòng
&nbsp;&nbsp;\- Khu vệ sinh (nam/nữ riêng biệt),24 x 02 khu
