Loại phòng,Diện tích<br>($m^{2}$)
"1. Chỗ kiểm nhận (có cửa riêng, không gần với vùng đồ vải sạch)",từ 15 đến 18
2. Gian giặt:,
&nbsp;&nbsp;\- Bể ngâm thô,từ 12 đến 15
&nbsp;&nbsp;\- Bể ngâm tẩy,từ 12 đến 15
"&nbsp;&nbsp;\- Chỗ đặt máy giặt, vắt, sấy",từ 48 đến 54
3. Phòng phơi trong nhà,từ 48 đến 54
4. Sân phơi,từ 60 đến 72
"5. Phòng là, gấp",từ 18 đến 24
6. Khâu vá,từ 12 đến 15
7. Kho cấp phát đồ sạch,từ 15 đến 18
8. Chỗ thay quần áo,từ 9 đến 12
8. Chỗ nghỉ nhân viên,từ 18 đến 24
"9. Khu vệ sinh, tắm (nam/nữ)",24 x 02 khu
