Loại bê tông,Giá trị $E_{b}$ x 10$^{-3}$ khi cấp cường độ chịu nén của bê tông bằng,,,,,,,,,,,,,,,,,,,,,
Loại bê tông,"B1,5",B2,"B2,5","B3,5",B5,"B7,5",B10,"B12,5",B15,B20,B25,B30,B35,B40,B45,B50,B55,B60,B70,B80,B90,B100
Bê tông nặng,-,"9,5","13,0","16,0","19,0","21,5","24,0","27,5","30,0","32,5","34,5","36,0","37,0","38,0","39,0","39,5","41,0","42,0","42,5","43,0",,
Bê tông hạt nhỏ nhóm,A - đóng rắn tự nhiên,-,"7,0","10,0","13,5","15,5","17,5","19,5","22,0","24,0","26,0","27,5","28,5",-,"34,5","36,0","37,5",,,,,
Bê tông hạt nhỏ nhóm,B - gia công chưng áp,-,"16,5","18,0","19,5","21,0","22,0","23,0","23,5","24,0","24,5","25,0",-,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D800,-,"4,0","4,5","5,0","5,5",-,,,,,,,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D1000,-,"5,0","5,5","6,3","7,2","8,0","8,4",-,,,,,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D1200,-,"6,0","6,7","7,6","8,7","9,5","10,0","10,5",-,,,,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D1400,-,"7,0","7,8","8,8","10,0","11,0","11,7","12,5","13,5","14,5","15,5",-,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D1600,-,"9,0","10,0","11,5","12,5","13,2","14,0","15,5","16,5","17,5","18,0",-,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D1800,-,"11,2","13,0","14,0","14,7","15,5","17,0","18,5","19,5","20,5","21,0",-,,,,,,,,,
Bê tông nhẹ và bê tông rỗng với mác khối lượng thể tích trung bình:,D2000,-,"14,5","16,0","17,0","18,0","19,5","21,0","22,0","23,0","23,5",-,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D500,"1,4",-,,,,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D600,"1,7","1,8","2,1",-,,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D700,"1,9","2,2","2,5","2,9",-,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D800,-,"2,9","3,4","4,0",-,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D900,-,"3,8","4,5","5,5",-,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D1000,-,"5,0","6,0","7,0",-,,,,,,,,,,,,,,,,
Bê tông tổ ong chưng áp với mác khối lượng thể tích trung bình,D1100,-,"6,8","7,9","8,3","8,6",-,,,,,,,,,,,,,,,
,D1200,-,"8,4","8,8","9,3",-,,,,,,,,,,,,,,,,
