"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép,Tiêu chuẩn sản phẩm,"Giới hạn chảy thực tế, MPa","Giới hạn bền, MPa"
300,CB300-V,TCVN 1651-2:2018,300 min.,450 min.
400,CB400-V,TCVN 1651-2:2018,400 min.,570 min.
500,CB500-V,TCVN 1651-2:2018,500 min.,650 min.
600,CB600-V,TCVN 1651-2:2018,600 min.,710 min.
295,A-II (A300),GOST 5781-82*,295 min.,490 min.
390,A-III (A400),GOST 5781-82*,390 min.,590 min.
590,A-IV (A600),GOST 5781-82*,590 min.,883 min.
440,$A_{T}$400,GOST 10884-94,440 min.,550 min.
500,$A_{T}$500,GOST 10884-94,500 min.,600 min.
600,$A_{T}$-IV ($ A_{T}$600),GOST 10884-94,600 min.,800 min.
295,SD295A,JIS G 3112-2010,295 min.,440 đến 600
295,SD295B,JIS G 3112-2010,295 đến 390,440 min.
345,SD345,JIS G 3112-2010,345 đến 440,490 min.
390,SD390,JIS G 3112-2010,390 đến 510,560 min.
490,SD490,JIS G 3112-2010,490 đến 625,620 min.
500,B500A,BS 4449:2005,500 min.,525 min.
500,B500B,BS 4449:2005,500 min.,540 min.
500,B500C,BS 4449:2005,500 min,575 đến 675
500,B500A,EN 10080:2005,500 min.,525 min.
500,B500B,EN 10080:2005,500 min.,540 min.
500,B500C,EN 10080:2005,500 min.,575 đến 675
280,gr. 280,ASTM A615M-01b,280 min.,420 min.
420,gr. 420,ASTM A615M-01b,420 min.,620 min.
520,gr. 520,ASTM A615M-01b,520 min.,690 min.
335,RL335,GB 1499-91,335 đến 460,510 min.
540,RL540,GB 1499-91,540 min.,835 min.
590,RL590,GB 1499-91,590 min.,885 min.
335,"HRB335, HRBF335",GB 1499-2007,335 min.,455 min.
400,"HRB400, HRBF400",GB 1499-2007,400 min.,540 min.
500,"HRB500, HRBF500",GB 1499-2007,500 min.,630 min.
400,AS 1302-400Y,AS 1302-1991,400 min.,-
