"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép (và/hoặc đường kính),Tiêu chuẩn sản phẩm,"Giới hạn chảy quy ước, MPa","Giới hạn bền, MPa"
835,Thanh 1030,TCVN 6284-5:1997 <br>(ISO 6934-5:1991),835 min.,1 030 min.
930,Thanh 1080,TCVN 6284-5:1997 <br>(ISO 6934-5:1991),930 min.,1 080 min.
930,Thanh 1180,TCVN 6284-5:1997 <br>(ISO 6934-5:1991),930 min.,1 180 min.
1 080,Thanh 1230,TCVN 6284-5:1997 <br>(ISO 6934-5:1991),1 080 min.,1 230 min.
785,A-V (A800),GOST 5781-82*,785 min.,1 030 min.
980,A-VI (A1000),GOST 5781-82*,980 min.,1 230 min.
800,$A_{T}$-V(AT800),GOST 10884-94,800 min.,1 000 min.
1 000,$A_{T}$-VI (AT1000),GOST 10884-94,1 000 min.,1 250 min
1 200,$A_{T}$-VII (AT1200),GOST 10884-94,1 200 min.,1 450 min
785,SBPR 785/1030,JIS G 3109-1994,785 min.,1 030 min.
930,SBPR 930/1080,JIS G 3109-1994,930 min.,1 080 min.
930,SBPR 930/1180,JIS G 3109-1994,930 min.,1 180 min.
1 080,SBPR 1080/1230,JIS G 3109-1994,1 080 min.,1 230 min.
835,RE (RR)-1030,BS 4486:1980,835 min.,1 030 min.
835,Y1030H,EN 10138-4,835 min.,1 030 min.
900,Y1100H,EN 10138-4,900 min.,1 100 min.
1 080,Y1230H,EN 10138-4,1 080 min.,1 230 min.
880,gr. 1035 type I,ASTM A722M-98 (2003),880 min.,1 035 min.
830,gr. 1035 type II,ASTM A722M-98 (2003),830 min.,1 035 min.
