"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép (và/hoặc đường kính),Tiêu chuẩn sản phẩm,"Giới hạn chảy quy ước, MPa","Giới hạn bên, MPa"
1 200,1470 (8),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 200 min.,1 470 min.
1 300,1570 (7; 8),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 300 min.,1 570 min.
1 300,1670 (4; 5; 6; 7),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 300 min.,1 670 min.
1 400,1770 (3; 4; 5; 6),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 400 min.,1 770 min.
1 470,"1860 (2,5; 3)",TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 470 min.,1 860 min.
1 570,"1960 (2,5)",TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Không khử ứng suất,1 570 min.,1 960 min.
1 200,"S-1470 (9; 10; 12,2)",TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Khử ứng suất,1 200 min.,1470 min.
1 300,"S-1570 (7; 8; 10; 12,2)",TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Khử ứng suất,1 300 min.,1570 min.
1 400,S-1670 (4; 5; 6; 7; 8),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Khử ứng suất,1 400 min.,1670 min.
1 470,S-1770 (4; 5; 6),TCVN 6284-2:1997 <br>(ISO 6394-2:1991) <br>Khử ứng suất,1 470 min.,1770 min.
1 200,Bp1200 (8),GOST 7348-81*,1 200 min.,1 470 min.
1 300,Bp1300 (7),GOST 7348-81*,1 300 min.,1 570 min.
1 400,Bp1400 (4; 5; 6),GOST 7348-81*,1 400 min.,1 670 min.
1 500,Bp1500 (3),GOST 7348-81*,1 500 min.,1 780 min.
1 380,Y1570C (7),BS 5896:2010,1 380 min.,1 570 min.
1 425,Y1620C (4.5),BS 5896:2010,1 425 min.,1 620 min.
1 470,Y1670C (4; 5; 6; 7),BS 5896:2010,1 470 min.,1 670 min.
1 560,Y1770C (4; 5; 6),BS 5896:2010,1 560 min.,1 770 min.
1 655,Y1860C (5),BS 5896:2010,1 655 min.,1 860 min.
1 300,"Y1860C (3,0; 4,0; 5,0)",EN 10138-2,1 300 min.,1 570 min.
1 440,"Y1670C (6,9; 7,0; 7,5; 8,0)",EN 10138-2,1 440 min.,1 670 min.
1 520,"Y1770C (3,2; 5,0; 6,0)",EN 10138-2,1 520 min.,1 770 min.
1 600,"Y1570C (94; 9 5; 10,0)",EN 10138-2,1 600 min.,1 860 min.
1 377,"BA (7,01)",ASTM A421M-10,1 377 min.,1620 min.
1 407,"BA (4,98; 6,35)",ASTM A421M-10,1 407 min.,1655 min.
1 377,"WA (7,01)",ASTM A421M-10,1 377 min.,1620 min.
1 407,"WA (6,35)",ASTM A421M-10,1 407 min.,1655 min.
1 465,"WA (4,88; 4,98)",ASTM A421M-10,1 465 min.,1725 min.
