"Giới hạn chảy dùng để so sánh, MPa",Ký hiệu thép (và/hoặc đường kính),Tiêu chuẩn sản phẩm,"Giới hạn chảy, MPa","Giới hạn bền, MPa"
1 410,"9,3; 10,8; 12,4; 15,2",TCVN 6284-4:1997 <br>(ISO 6934-4:1991) <br>7 sợi thường,1 410 min.,1 720 min.
1 525,"9,5; 11,1; 12,7; 15,2",TCVN 6284-4:1997 <br>(ISO 6934-4:1991) <br>7 sợi thường,1 525 min.,1 860 min.
1 580,"12,7",TCVN 6284-4:1997 <br>(ISO 6934-4:1991) <br>7 sợi nén chặt,1 580 min.,1 860 min.
1 550,"15,2",TCVN 6284-4:1997 <br>(ISO 6934-4:1991) <br>7 sợi nén chặt,1 550 min.,1 820 min.
1 450,"18,0",TCVN 6284-4:1997 <br>(ISO 6934-4:1991) <br>7 sợi nén chặt,1 450 min.,1 700 min.
1 550,"K7 và K7T (6,9; 9,0; 9,3; 9,6; 11,0; 12,5; 12,7; 12,9; 15,2; 15,7; 18,0)",GOSTR 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi thường,1 550 min.,1 770 min.
1 650,"K7 và K7T (6,9; 9,0; 9,3; 9,6; 11,0; 12,5; 12,7; 12,9; 15,2; 15,7)",GOSTR 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi thường,1 650 min.,1 860 min.
1 740,"K7 và K7T (9,0; 9,3)",GOSTR 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi thường,1 740 min.,1 960 min.
1 840,"K7 và K7T (6,9)",GOSTR 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi thường,1 840 min.,2 060 min.
1 920,"K7 và K7T (6,9)",GOSTR 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi thường,1 920 min.,2 160 min.
1 600,"K7O (15,2)",GOST R 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi nén chặt,1 600 min.,1 820 min.
1 650,"K7O (12,7; 15,2)",GOST R 53772-2010 <br>(ISO 6934-4:1991)<br>7 sợi nén chặt,1 650 min.,1 860 min.
1 400,K7-1400,GOST 13840-81,1 400 min.,1 670 min.
1 500,K7-1500,GOST 13840-81,1 500 min.,1 770 min.
1 470,"Y1670S7 (15,2)",BS 5896:2010<br>7 sợi thường,1 470 min.,1 670 min.
1 560,"Y1770S7(9.3; 11,0; 12,5; 15,7)",BS 5896:2010<br>7 sợi thường,1 560 min.,1 770 min.
1 640,"Y1860S7 (8,0; 9,3; 9,6; 11,3; 12,5; 12,9; 15,2; 15,7)",BS 5896:2010<br>7 sợi thường,1 640 min.,1 860 min.
1 500,"Y1700S7G (18,0)",BS 5896:2010<br>7 sợi nén chặt,1 500 min.,1 700 min.
1 600,"Y1820S7G (15,2)",BS 5896:2010<br>7 sợi nén chặt,1 600 min.,1 820 min.
1 640,"Y1860S7G (12,7)",BS 5896:2010<br>7 sợi nén chặt,1 640 min.,1860 min.
1 520,"Y1770S7 (15,2; 16,0; 18,0)",EN 10138-3<br>7 sợi thường,1 520 min.,1 770 min.
1 600,"Y1860S7(7,0; 9,0; 11,0; 12,5; 13,0; 15,2; 16,0)",EN 10138-3<br>7 sợi thường,1 600 min.,1 860 min.
1 680,"Y1960S7 (9,0)",EN 10138-3<br>7 sợi thường,1 680 min.,1 960 min.
1 770,"Y2060S7 (7,0)",EN 10138-3<br>7 sợi thường,1 770 min.,2 060 min.
1 460,"Y1700S7G (18,0)",EN 10138-3<br>7 sợi nén chặt,1 460 min.,1 700 min.
1 565,"Y1820S7G (15,2)",EN 10138-3<br>7 sợi nén chặt,1 565 min.,1 820 min.
1600,"Y1860S7G (12,7)",EN 10138-3<br>7 sợi nén chặt,1 600 min.,1 860 min.
1 550,"gr. 1725 (6,4; 7,9; 9,5; 11,1; 12,7; 15,2)",ASTM A416M-06<br>7 sợi thường khử ứng suất,1 550 min.,1 725 min.
1 670,"gr. 1860 (9,53; 11,11; 12,70; 13,20; 14,29; 15,24; 17,78)",ASTM A416M-06<br>7 sợi thường khử ứng suất,1 670 min.,1 860 min.
1 480,"gr. 1700(18,0)",ASTM A779M-10<br>7 sợi nén chặt,1 480 min.,1 700 min.
1 570,"gr. 1800(15,2)",ASTM A779M-10<br>7 sợi nén chặt,1570 min.,1 800 min.
1 620,"gr. 1860(12,7)",ASTM A779M-10<br>7 sợi nén chặt,1 620 min.,1 860 min.
