Các thanh của kết cấu không gian rỗng,Các thanh chịu nén và các thanh không chịu lực — $L_{ef}$,Các thanh chịu nén và các thanh không chịu lực — i,Các thanh chịu kéo — $L_{ef}$,Các thanh chịu kéo — i
1. Các thanh cánh:,,,,
"a) Theo Hình 17a, b, c",$L_{m}$,$i_{min}$,$L_{m}$,$i_{min}$
"b) Theo Hình 17d, e","0,73 $L_{m}$",$i_{min}$,"0,73$L_{m}$",$i_{min}$
c) Theo Hình 17f,"0,64 $L_{m}$",$i_{min}$,"0,64 $L_{m}$",$i_{min}$
2. Các thanh xiên:,,,,
"a) Theo Hình 17a, e",µ$_{d}L_{dc}$,$i_{min}$,$L_{d}$ ($L_{d1}$),$i_{min}$ ($i_{x}$)
"b) Theo Hình 17b, c, d, f",µ$_{d}L_{dc}$,$i_{min}$,$L_{d}$,$i_{min}$
3. Các thanh ngang:,,,,
"a) Theo Hình 17b, f","0,8$L_{c}$",$i_{min}$,-,-
b) Theo Hình 17c,"0,73$L_{c}$",$i_{min}$,-,-
"**Các ký hiệu trong Bảng 28 (Hình 17):<br>$L_{dc}$ là chiều dài quy ước của thanh xiên, lấy theo Bảng 29;<br>µ$_{d}$ là hệ số chiều dài tính toán của thanh xiên, lấy theo Bảng 30.**",,,,
