Các cấu kiện kết cấu,Giá trị $\gamma_{c}$
1. Các thanh bụng ứng suất trước,"0,90"
2. Mặt bích:,
a) Dạng vành khuyên<br>b) Các dạng còn lại,"1,10<br>0,90"
3. Cáp thép làm dây co của trụ hoặc các chi tiết của mảng rèm ăng ten với số lượng:,
a) Từ 3 đến 5 dây co trong một lớp hoặc 3 đến 5 chi tiết của mảng rèm ăng ten<br>b) Từ 6 đến 8 dây co trong một lớp<br>c) Từ 9 dây co trở lên trong một lớp,"0,80<br>0,90<br>0,95"
4. Ngàm đầu cáp bằng kẹp hoặc dập điểm trong ống lồng,"0,75"
5. Bện cáp ở chổ nối hoặc sứ cách điện,"0,55"
"6. Các chi tiết kẹp dây co, mảng rèm ăng ten, dây dẫn, thanh chống xiên vào kết cấu đỡ và móng neo","0,90"
7. Các thanh neo không dùng liên kết ren khi làm việc chịu kéo uốn,"0,65"
8. Các tai đỡ chịu kéo,"0,65"
9. Các chi tiết kẹp và chi tiết của liên kết bó cáp thép:,
"a) Chi tiết cơ khí, trừ các trục khớp<br>b) Trục khớp chịu ép mặt","0,80<br>0,90"
