Các tính chất vật lý,Giá trị
"1. Khối lượng riêng ρ, kg/ $m^{3}$:",
a) Thép cán và khối đúc bằng thép,7 850
b) Khối đúc bằng gang,7 200
"2. Hệ số giãn dài do nhiệt α, $^{o}$C-1","0,12x10$^{-4}$"
"3. Mô đun đàn hồi E, MPa:",
a) Thép cán và khối đúc bằng thép,"2,06x10$^{5}$"
b) Khối đúc bằng gang,"0,85x10$^{5}$"
c) Cáp thép:,
&nbsp;&nbsp;\- Bó và tao cáp các sợi thép song song,"1,96x10$^{5}$"
&nbsp;&nbsp;\- Cáp xoắn và cáp kín chịu lực,"1,67x10$^{5}$"
&nbsp;&nbsp;\- Cáp bện đôi,"1,47x10$^{5}$"
&nbsp;&nbsp;\- Cáp bện đôi lõi thép,"1,27x10$^{5}$"
"4. Mô đun trượt của thép cán và khối đúc bằng thép G, MPa","0,79x10$^{5}$"
5. Hệ số nở ngang (hệ số Poát xông),"0,3"
